timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.645544628109677e+18,-4777.0,-2800.0,6718.0,frame_100.jpeg
1.645545123730024e+18,-4461.0,-6215.0,2761.0,frame_10000.jpeg
1.6455451237825096e+18,-4442.0,-6279.0,2683.0,frame_10001.jpeg
1.6455451238306854e+18,-4674.0,-6752.0,3025.0,frame_10002.jpeg
1.645545123881639e+18,-4351.0,-6164.0,2705.0,frame_10003.jpeg
1.6455451239302666e+18,-4554.0,-6491.0,2434.0,frame_10004.jpeg
1.6455451239828457e+18,-4664.0,-6606.0,2765.0,frame_10005.jpeg
1.6455451240305116e+18,-4294.0,-6015.0,2565.0,frame_10006.jpeg
1.645545124082797e+18,-4644.0,-6551.0,2839.0,frame_10007.jpeg
1.6455451241307663e+18,-4324.0,-7056.0,2780.0,frame_10008.jpeg
1.6455451241826552e+18,-4307.0,-6137.0,3227.0,frame_10009.jpeg
1.645545124230408e+18,-3989.0,-6758.0,2963.0,frame_10010.jpeg
1.6455451242818084e+18,-3210.0,-6399.0,3493.0,frame_10011.jpeg
1.645545124331292e+18,-3055.0,-7776.0,2757.0,frame_10012.jpeg
1.6455451243842406e+18,-3621.0,-7161.0,2422.0,frame_10013.jpeg
1.645545124431346e+18,-4403.0,-7026.0,3124.0,frame_10014.jpeg
1.6455451244835372e+18,-4766.0,-5381.0,2846.0,frame_10015.jpeg
1.6455451245316856e+18,-5376.0,-5378.0,3355.0,frame_10016.jpeg
1.6455451245826081e+18,-6282.0,-5358.0,3639.0,frame_10017.jpeg
1.6455451246306289e+18,-5414.0,-5719.0,4743.0,frame_10018.jpeg
1.6455451246832156e+18,-4804.0,-5358.0,4941.0,frame_10019.jpeg
1.6455451247312773e+18,-4290.0,-6722.0,3988.0,frame_10020.jpeg
1.6455451247782444e+18,-4109.0,-5126.0,4481.0,frame_10021.jpeg
1.6455451248357555e+18,-4415.0,-4640.0,3871.0,frame_10022.jpeg
1.645545124885658e+18,-4367.0,-4619.0,4807.0,frame_10023.jpeg
1.6455451249357102e+18,-3644.0,-4759.0,5549.0,frame_10024.jpeg
1.6455451249788856e+18,-4580.0,-6181.0,5878.0,frame_10025.jpeg
1.6455451250372754e+18,-4746.0,-3157.0,4767.0,frame_10026.jpeg
1.6455451250798743e+18,-5222.0,-5003.0,4394.0,frame_10027.jpeg
1.6455451251342065e+18,-4617.0,-4615.0,5187.0,frame_10028.jpeg
1.6455451251804017e+18,-5417.0,-3723.0,4723.0,frame_10029.jpeg
1.6455451252358385e+18,-6506.0,-3238.0,3457.0,frame_10030.jpeg
1.6455451252823936e+18,-4685.0,-6192.0,3877.0,frame_10031.jpeg
1.6455451253354578e+18,-2239.0,-8321.0,5485.0,frame_10032.jpeg
1.6455451253881162e+18,-4155.0,-6724.0,5646.0,frame_10033.jpeg
1.6455451254340221e+18,-4937.0,-5838.0,3367.0,frame_10034.jpeg
1.6455451254798858e+18,-4986.0,-5361.0,3624.0,frame_10035.jpeg
1.6455451255362552e+18,-4623.0,-5634.0,3675.0,frame_10036.jpeg
1.645545125579787e+18,-4778.0,-5839.0,3700.0,frame_10037.jpeg
1.6455451256342966e+18,-4631.0,-6760.0,4064.0,frame_10038.jpeg
