timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.646150174225529e+18,-5679.0,-1927.0,6191.0,frame_100.jpeg
1.6461501742759078e+18,-5673.0,-1821.0,6138.0,frame_101.jpeg
1.6461501743295224e+18,-5630.0,-1765.0,6124.0,frame_102.jpeg
1.6461501743763756e+18,-5579.0,-1807.0,6186.0,frame_103.jpeg
1.6461501744259415e+18,-5554.0,-1866.0,6204.0,frame_104.jpeg
1.6461501744728148e+18,-5536.0,-1802.0,6146.0,frame_105.jpeg
1.646150174522634e+18,-5531.0,-1828.0,6153.0,frame_106.jpeg
1.6461501745730406e+18,-5504.0,-1876.0,6128.0,frame_107.jpeg
1.6461501746233574e+18,-5497.0,-1890.0,6147.0,frame_108.jpeg
1.6461501746753987e+18,-5514.0,-1966.0,6250.0,frame_109.jpeg
1.6461501747275999e+18,-5542.0,-1820.0,6171.0,frame_110.jpeg
1.6461502245923963e+18,2460.0,-5663.0,7299.0,frame_1106.jpeg
1.6461502246393439e+18,3322.0,-2346.0,4735.0,frame_1107.jpeg
1.6461502246897057e+18,3168.0,-1217.0,3054.0,frame_1108.jpeg
1.6461502247376369e+18,2341.0,1941.0,2612.0,frame_1109.jpeg
1.646150174780297e+18,-5540.0,-1879.0,6193.0,frame_111.jpeg
1.6461502247879575e+18,460.0,2728.0,3876.0,frame_1110.jpeg
1.6461502248362496e+18,524.0,151.0,7010.0,frame_1111.jpeg
1.646150224888677e+18,2143.0,944.0,6816.0,frame_1112.jpeg
1.6461502249373755e+18,2581.0,-141.0,7345.0,frame_1113.jpeg
1.6461502249920576e+18,3712.0,595.0,7888.0,frame_1114.jpeg
1.646150225038969e+18,3463.0,171.0,7819.0,frame_1115.jpeg
1.6461502250927153e+18,3522.0,598.0,7312.0,frame_1116.jpeg
1.6461502251415145e+18,2876.0,450.0,8715.0,frame_1117.jpeg
1.6461502251928712e+18,2861.0,-3383.0,7658.0,frame_1118.jpeg
1.6461502252370115e+18,2917.0,-784.0,7362.0,frame_1119.jpeg
1.6461501748272914e+18,-5593.0,-1843.0,6181.0,frame_112.jpeg
1.646150225287954e+18,3034.0,-478.0,7761.0,frame_1120.jpeg
1.6461502253380598e+18,3466.0,-312.0,6197.0,frame_1121.jpeg
1.6461502253905697e+18,3339.0,-1238.0,7119.0,frame_1122.jpeg
1.646150225439837e+18,3172.0,-952.0,7749.0,frame_1123.jpeg
1.6461502254868483e+18,4145.0,-829.0,7485.0,frame_1124.jpeg
1.646150225539718e+18,4226.0,-808.0,7502.0,frame_1125.jpeg
1.6461502255919096e+18,3918.0,-1202.0,7846.0,frame_1126.jpeg
1.646150225636851e+18,3256.0,-2653.0,7298.0,frame_1127.jpeg
1.6461502256935263e+18,3071.0,-591.0,7485.0,frame_1128.jpeg
1.6461502257401042e+18,3014.0,-919.0,7031.0,frame_1129.jpeg
1.6461501748780017e+18,-5555.0,-1909.0,6204.0,frame_113.jpeg
1.6461502257907264e+18,3183.0,-420.0,8067.0,frame_1130.jpeg
1.6461502258381435e+18,3167.0,-1046.0,8073.0,frame_1131.jpeg
1.6461502258902528e+18,3793.0,-864.0,7433.0,frame_1132.jpeg
1.6461502259397294e+18,3529.0,-1919.0,7358.0,frame_1133.jpeg
1.6461502259915914e+18,3250.0,-1611.0,7460.0,frame_1134.jpeg
1.646150226034391e+18,3436.0,-1920.0,7291.0,frame_1135.jpeg
1.6461502260917704e+18,3723.0,-1627.0,7354.0,frame_1136.jpeg
1.6461502261398305e+18,3744.0,-2520.0,7817.0,frame_1137.jpeg
1.6461502261932644e+18,3706.0,-986.0,7864.0,frame_1138.jpeg
1.646150226239622e+18,3441.0,-2256.0,7538.0,frame_1139.jpeg
1.6461501749275354e+18,-5596.0,-1920.0,6243.0,frame_114.jpeg
1.6461502262910218e+18,3383.0,-1314.0,7510.0,frame_1140.jpeg
1.6461502263417743e+18,3707.0,-2723.0,6902.0,frame_1141.jpeg
1.6461502263908846e+18,3656.0,-1822.0,7318.0,frame_1142.jpeg
1.6461502264442447e+18,3822.0,-1956.0,7474.0,frame_1143.jpeg
1.6461502264901327e+18,3554.0,-1877.0,7378.0,frame_1144.jpeg
1.6461502265442322e+18,3713.0,-2479.0,7058.0,frame_1145.jpeg
1.6461502265904594e+18,3411.0,-2926.0,6901.0,frame_1146.jpeg
1.646150226639948e+18,3049.0,-2048.0,6885.0,frame_1147.jpeg
1.6461502266910684e+18,2574.0,-2113.0,7293.0,frame_1148.jpeg
1.646150226745464e+18,1716.0,-136.0,7854.0,frame_1149.jpeg
1.64615017497787e+18,-5617.0,-1858.0,6225.0,frame_115.jpeg
1.6461502267896614e+18,223.0,-2018.0,6689.0,frame_1150.jpeg
1.646150226844403e+18,1024.0,-4686.0,2703.0,frame_1151.jpeg
1.6461502268846433e+18,1617.0,-1999.0,264.0,frame_1152.jpeg
1.6461502269417933e+18,3514.0,1657.0,-4409.0,frame_1153.jpeg
1.6461502269888302e+18,3485.0,533.0,-564.0,frame_1154.jpeg
1.6461502270425754e+18,-871.0,-8197.0,9140.0,frame_1155.jpeg
1.6461502270883848e+18,-1722.0,-6556.0,15266.0,frame_1156.jpeg
1.646150227140564e+18,-3599.0,-3465.0,14298.0,frame_1157.jpeg
1.6461502271896192e+18,-7018.0,-3045.0,12550.0,frame_1158.jpeg
1.6461502272407834e+18,-6942.0,-2299.0,13192.0,frame_1159.jpeg
1.646150175025589e+18,-5608.0,-1903.0,6206.0,frame_116.jpeg
1.6461502272889216e+18,-8307.0,-2500.0,13481.0,frame_1160.jpeg
1.6461502273255398e+18,-7525.0,-3338.0,15634.0,frame_1161.jpeg
1.6461502273905262e+18,-2759.0,-7004.0,15187.0,frame_1162.jpeg
1.646150227440359e+18,-74.0,-3720.0,6755.0,frame_1163.jpeg
1.646150227488869e+18,1395.0,-1968.0,1630.0,frame_1164.jpeg
1.6461502275364147e+18,2646.0,-135.0,766.0,frame_1165.jpeg
1.646150227593927e+18,1740.0,-1239.0,2987.0,frame_1166.jpeg
1.6461502276392812e+18,1731.0,1726.0,4926.0,frame_1167.jpeg
1.6461502276941453e+18,3568.0,1544.0,4577.0,frame_1168.jpeg
1.6461502277445379e+18,3897.0,4489.0,5883.0,frame_1169.jpeg
1.6461501750777062e+18,-5652.0,-1843.0,6297.0,frame_117.jpeg
1.6461502277938207e+18,3902.0,3439.0,4974.0,frame_1170.jpeg
1.6461502278373514e+18,4422.0,3964.0,4887.0,frame_1171.jpeg
1.6461502278932588e+18,4509.0,2346.0,6180.0,frame_1172.jpeg
1.6461502279437883e+18,4069.0,4011.0,4676.0,frame_1173.jpeg
1.6461502279939948e+18,4315.0,1470.0,6724.0,frame_1174.jpeg
1.6461502280443927e+18,4523.0,3312.0,6692.0,frame_1175.jpeg
1.646150228092018e+18,4295.0,4735.0,7041.0,frame_1176.jpeg
1.6461502281427292e+18,4387.0,2089.0,6626.0,frame_1177.jpeg
1.646150228191345e+18,4529.0,3147.0,6133.0,frame_1178.jpeg
1.646150228244153e+18,4267.0,3261.0,6486.0,frame_1179.jpeg
1.6461501751279068e+18,-5630.0,-1886.0,6238.0,frame_118.jpeg
1.6461502282920548e+18,4317.0,3298.0,6395.0,frame_1180.jpeg
1.646150228342597e+18,4512.0,3607.0,6132.0,frame_1181.jpeg
1.6461502283928635e+18,4151.0,2842.0,6503.0,frame_1182.jpeg
1.6461502284436544e+18,4487.0,2574.0,6366.0,frame_1183.jpeg
1.6461502284915438e+18,4620.0,3070.0,6140.0,frame_1184.jpeg
1.6461502285429082e+18,4857.0,3636.0,5923.0,frame_1185.jpeg
1.6461502285924467e+18,4622.0,2991.0,6225.0,frame_1186.jpeg
1.6461502286478052e+18,4452.0,3189.0,6766.0,frame_1187.jpeg
1.646150228691607e+18,4635.0,3423.0,5820.0,frame_1188.jpeg
1.6461502287471404e+18,4571.0,4057.0,6233.0,frame_1189.jpeg
1.646150175179992e+18,-5580.0,-1915.0,6130.0,frame_119.jpeg
1.6461502287938662e+18,4693.0,4000.0,5840.0,frame_1190.jpeg
1.6461502288458852e+18,4177.0,3764.0,6006.0,frame_1191.jpeg
1.6461502288934587e+18,4193.0,4296.0,5779.0,frame_1192.jpeg
1.6461502289478172e+18,3864.0,4205.0,5958.0,frame_1193.jpeg
1.6461502289920614e+18,3935.0,3974.0,6509.0,frame_1194.jpeg
1.6461502290464164e+18,4444.0,4435.0,6062.0,frame_1195.jpeg
1.646150229094083e+18,4424.0,3254.0,6133.0,frame_1196.jpeg
1.6461502291479368e+18,4240.0,3263.0,6611.0,frame_1197.jpeg
1.646150229192638e+18,4546.0,2751.0,6244.0,frame_1198.jpeg
1.6461502292467576e+18,4093.0,3155.0,5837.0,frame_1199.jpeg
1.6461501752284915e+18,-5502.0,-1924.0,6057.0,frame_120.jpeg
1.6461502292913142e+18,3864.0,3326.0,6132.0,frame_1200.jpeg
1.6461502293472433e+18,4380.0,3594.0,6260.0,frame_1201.jpeg
1.6461502293936215e+18,4187.0,4682.0,6703.0,frame_1202.jpeg
1.6461502294404152e+18,4417.0,3847.0,6123.0,frame_1203.jpeg
1.6461502294966922e+18,4539.0,3376.0,5317.0,frame_1204.jpeg
1.6461502295458583e+18,3969.0,3813.0,5988.0,frame_1205.jpeg
1.6461502295930872e+18,4260.0,5007.0,6679.0,frame_1206.jpeg
1.6461502296469448e+18,4521.0,2600.0,6727.0,frame_1207.jpeg
1.646150229693308e+18,4849.0,3694.0,5308.0,frame_1208.jpeg
1.6461502297451482e+18,4296.0,4036.0,6371.0,frame_1209.jpeg
1.6461501752771553e+18,-5531.0,-1890.0,6156.0,frame_121.jpeg
1.6461502297942625e+18,4136.0,3997.0,6774.0,frame_1210.jpeg
1.646150775181371e+18,2674.0,2686.0,5737.0,frame_12104.jpeg
1.6461507752300055e+18,1378.0,2987.0,7422.0,frame_12105.jpeg
1.6461507752801805e+18,2386.0,-1144.0,8768.0,frame_12106.jpeg
1.6461507753300915e+18,4419.0,-1332.0,8097.0,frame_12107.jpeg
1.646150775379656e+18,5756.0,-1404.0,6361.0,frame_12108.jpeg
