timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.645021712985702e+18,-5568.0,-2324.0,6059.0,frame_100.jpeg
1.6450217130357135e+18,-5568.0,-2237.0,5994.0,frame_101.jpeg
1.6450217130846828e+18,-5592.0,-2264.0,6071.0,frame_102.jpeg
1.6450217131323666e+18,-5585.0,-2331.0,6072.0,frame_103.jpeg
1.6450217131845622e+18,-5578.0,-2293.0,6067.0,frame_104.jpeg
1.6450217132314934e+18,-5583.0,-2236.0,6031.0,frame_105.jpeg
1.6450217132882844e+18,-5627.0,-2259.0,6047.0,frame_106.jpeg
1.6450217133342554e+18,-5636.0,-2302.0,6072.0,frame_107.jpeg
1.645021713385064e+18,-5599.0,-2331.0,6079.0,frame_108.jpeg
1.645021713436395e+18,-5613.0,-2224.0,6105.0,frame_109.jpeg
1.6450217134851402e+18,-5593.0,-2257.0,5926.0,frame_110.jpeg
1.6450217135320266e+18,-5566.0,-2317.0,6048.0,frame_111.jpeg
1.6450217135868562e+18,-5587.0,-2272.0,6099.0,frame_112.jpeg
1.6450217136354724e+18,-5599.0,-2320.0,6099.0,frame_113.jpeg
1.645022277945814e+18,-2445.0,-9506.0,985.0,frame_11385.jpeg
1.645022278008628e+18,-2184.0,-9248.0,1189.0,frame_11386.jpeg
1.6450222780405443e+18,-1459.0,-8860.0,1259.0,frame_11387.jpeg
1.6450222780914278e+18,-926.0,-7574.0,1782.0,frame_11388.jpeg
1.6450222781411533e+18,-222.0,-7417.0,2273.0,frame_11389.jpeg
1.6450222781930857e+18,499.0,-6272.0,3190.0,frame_11390.jpeg
1.6450222782428058e+18,1088.0,-6076.0,3954.0,frame_11391.jpeg
1.6450222782897672e+18,1627.0,-5547.0,4576.0,frame_11392.jpeg
1.645022278346657e+18,2028.0,-4482.0,5333.0,frame_11393.jpeg
1.645022278389808e+18,2384.0,-3265.0,5764.0,frame_11394.jpeg
1.6450222784417047e+18,2471.0,-2807.0,6185.0,frame_11395.jpeg
1.6450222784937283e+18,2729.0,-2188.0,6419.0,frame_11396.jpeg
1.6450222785407951e+18,2938.0,-1912.0,6408.0,frame_11397.jpeg
1.6450222785917358e+18,2890.0,-2391.0,6855.0,frame_11398.jpeg
1.6450222786432865e+18,3084.0,-2632.0,6895.0,frame_11399.jpeg
1.6450217136859185e+18,-5526.0,-2268.0,6032.0,frame_114.jpeg
1.6450222786907569e+18,3062.0,-2572.0,6821.0,frame_11400.jpeg
1.6450222787445903e+18,2935.0,-2505.0,7018.0,frame_11401.jpeg
1.6450222787900562e+18,2885.0,-2642.0,6987.0,frame_11402.jpeg
1.6450222788449684e+18,2725.0,-2680.0,6993.0,frame_11403.jpeg
1.6450222788903112e+18,2550.0,-2709.0,7126.0,frame_11404.jpeg
1.6450222789445164e+18,2343.0,-2738.0,7190.0,frame_11405.jpeg
1.6450222789906706e+18,2276.0,-2687.0,7017.0,frame_11406.jpeg
