timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.6449319236729231e+18,2499.0,-7775.0,-1779.0,frame_1000.jpeg
1.644931923774327e+18,2489.0,-7860.0,-1515.0,frame_1001.jpeg
1.6449319237837458e+18,2533.0,-8084.0,-1325.0,frame_1002.jpeg
1.6449319238984622e+18,2655.0,-8166.0,-1297.0,frame_1003.jpeg
1.6449319238984622e+18,2655.0,-8166.0,-1297.0,frame_1004.jpeg
1.6449319239897654e+18,2739.0,-7972.0,-1283.0,frame_1005.jpeg
1.6449319239897654e+18,2739.0,-7972.0,-1283.0,frame_1006.jpeg
1.644931924030529e+18,2784.0,-7632.0,-1293.0,frame_1007.jpeg
1.644931924167772e+18,2798.0,-7306.0,-1301.0,frame_1008.jpeg
1.644931924167772e+18,2798.0,-7306.0,-1301.0,frame_1009.jpeg
1.6449319242107062e+18,2538.0,-7265.0,-1258.0,frame_1010.jpeg
1.6449319242592305e+18,-381.0,-6641.0,-2036.0,frame_1011.jpeg
1.644931924309365e+18,-1166.0,-9313.0,-2137.0,frame_1012.jpeg
1.6449319243598054e+18,-1227.0,-6992.0,-2026.0,frame_1013.jpeg
1.6449319244159478e+18,-2279.0,-8061.0,-2846.0,frame_1014.jpeg
1.644931924460159e+18,-2578.0,-8003.0,-2858.0,frame_1015.jpeg
1.6449319245090232e+18,-3151.0,-6950.0,-1613.0,frame_1016.jpeg
1.6449319245639178e+18,-3371.0,-7708.0,-1913.0,frame_1017.jpeg
1.644931924609135e+18,-3317.0,-7127.0,-1468.0,frame_1018.jpeg
1.644931924663261e+18,-4049.0,-7668.0,-1386.0,frame_1019.jpeg
1.6449319247105733e+18,-4328.0,-6293.0,-1025.0,frame_1020.jpeg
1.644931924761642e+18,-4107.0,-6960.0,-1234.0,frame_1021.jpeg
1.6449319248105738e+18,-3684.0,-7568.0,-1455.0,frame_1022.jpeg
1.6449319248615434e+18,-3468.0,-7034.0,-767.0,frame_1023.jpeg
1.6449319249069647e+18,-3712.0,-7299.0,-479.0,frame_1024.jpeg
1.6449319249630195e+18,-3850.0,-7720.0,-593.0,frame_1025.jpeg
1.6449319250083679e+18,-3793.0,-7760.0,-525.0,frame_1026.jpeg
1.6449319250554665e+18,-3837.0,-7951.0,-477.0,frame_1027.jpeg
1.6449319251086356e+18,-4020.0,-7116.0,-364.0,frame_1028.jpeg
1.6449319251636385e+18,-4334.0,-6594.0,-94.0,frame_1029.jpeg
1.644931925208435e+18,-4448.0,-6996.0,320.0,frame_1030.jpeg
1.644931925262939e+18,-4446.0,-6764.0,432.0,frame_1031.jpeg
1.6449319253096658e+18,-4322.0,-6931.0,824.0,frame_1032.jpeg
1.6449319253635067e+18,-4406.0,-6950.0,1035.0,frame_1033.jpeg
1.6449319253865183e+18,-4422.0,-6945.0,1001.0,frame_1034.jpeg
1.6449319254583803e+18,-4379.0,-7016.0,946.0,frame_1035.jpeg
1.6449319254979348e+18,-4362.0,-7023.0,933.0,frame_1036.jpeg
1.6449319255679334e+18,-4426.0,-6864.0,959.0,frame_1037.jpeg
1.6449319256081892e+18,-4511.0,-6740.0,947.0,frame_1038.jpeg
1.6449319256679977e+18,-4533.0,-6768.0,872.0,frame_1039.jpeg
1.6449319257103035e+18,-4517.0,-6843.0,832.0,frame_1040.jpeg
1.6449319257584333e+18,-3489.0,-6718.0,-684.0,frame_1041.jpeg
1.6449323952478792e+18,-2776.0,-6792.0,3945.0,frame_10419.jpeg
1.6449319258110075e+18,-3661.0,-7286.0,-965.0,frame_1042.jpeg
1.6449323952953085e+18,-2707.0,-7034.0,4032.0,frame_10420.jpeg
1.6449323953456358e+18,-2655.0,-6769.0,3983.0,frame_10421.jpeg
1.644932395397567e+18,-2873.0,-7090.0,4340.0,frame_10422.jpeg
1.6449323954432033e+18,-2881.0,-6501.0,4101.0,frame_10423.jpeg
1.6449323954994865e+18,-2885.0,-6502.0,4426.0,frame_10424.jpeg
1.6449323955485015e+18,-2726.0,-6637.0,3940.0,frame_10425.jpeg
1.6449323956010263e+18,-2642.0,-7026.0,3820.0,frame_10426.jpeg
1.644932395647853e+18,-2652.0,-6979.0,3780.0,frame_10427.jpeg
1.6449323957028544e+18,-2718.0,-6799.0,3739.0,frame_10428.jpeg
1.644932395754779e+18,-2713.0,-6497.0,4568.0,frame_10429.jpeg
1.6449319258636646e+18,-3729.0,-6885.0,-910.0,frame_1043.jpeg
1.6449323958013624e+18,-2743.0,-6792.0,4421.0,frame_10430.jpeg
1.6449323958507297e+18,-2833.0,-6640.0,4172.0,frame_10431.jpeg
1.6449323959019965e+18,-2622.0,-6752.0,3628.0,frame_10432.jpeg
1.64493239595272e+18,-2566.0,-6869.0,4031.0,frame_10433.jpeg
1.6449323960035018e+18,-3002.0,-6710.0,4061.0,frame_10434.jpeg
1.6449323960533796e+18,-2855.0,-6786.0,4276.0,frame_10435.jpeg
1.6449323961009247e+18,-2576.0,-6781.0,3839.0,frame_10436.jpeg
1.644932396151004e+18,-2605.0,-6885.0,3979.0,frame_10437.jpeg
1.6449323962004754e+18,-2644.0,-6824.0,3983.0,frame_10438.jpeg
1.6449323962531945e+18,-2554.0,-6928.0,4074.0,frame_10439.jpeg
1.644931925915746e+18,-3177.0,-7116.0,-914.0,frame_1044.jpeg
1.644932396299805e+18,-2630.0,-6791.0,3990.0,frame_10440.jpeg
1.6449323963534625e+18,-2749.0,-6825.0,4084.0,frame_10441.jpeg
1.644932396397402e+18,-2856.0,-6565.0,4135.0,frame_10442.jpeg
1.6449323964504653e+18,-2758.0,-6661.0,4147.0,frame_10443.jpeg
1.6449323964988288e+18,-2566.0,-6792.0,4041.0,frame_10444.jpeg
1.6449323965530573e+18,-2721.0,-6884.0,4015.0,frame_10445.jpeg
1.6449323966134492e+18,-2661.0,-6998.0,3506.0,frame_10446.jpeg
1.6449323966533268e+18,-2922.0,-6467.0,4314.0,frame_10447.jpeg
1.644932396701868e+18,-3063.0,-6560.0,4075.0,frame_10448.jpeg
1.644932396749652e+18,-3126.0,-6541.0,4154.0,frame_10449.jpeg
1.6449319259638203e+18,-3124.0,-7154.0,-839.0,frame_1045.jpeg
1.6449323967964173e+18,-2729.0,-6817.0,3915.0,frame_10450.jpeg
1.644932396848624e+18,-2812.0,-6845.0,4022.0,frame_10451.jpeg
1.64493239690154e+18,-2992.0,-6500.0,4252.0,frame_10452.jpeg
1.644932396952383e+18,-2812.0,-6612.0,4182.0,frame_10453.jpeg
1.6449323969996314e+18,-2768.0,-6808.0,3891.0,frame_10454.jpeg
1.6449323970512084e+18,-2646.0,-7101.0,3657.0,frame_10455.jpeg
1.6449323970981194e+18,-2722.0,-6890.0,3799.0,frame_10456.jpeg
1.6449323971535588e+18,-2851.0,-6530.0,4104.0,frame_10457.jpeg
1.6449323972012224e+18,-2767.0,-6773.0,3987.0,frame_10458.jpeg
1.644932397254078e+18,-2642.0,-6893.0,3976.0,frame_10459.jpeg
1.644931926011949e+18,-3075.0,-8230.0,-1440.0,frame_1046.jpeg
1.644932397293429e+18,-2621.0,-6697.0,3533.0,frame_10460.jpeg
1.6449323973767532e+18,-2804.0,-7010.0,3804.0,frame_10461.jpeg
1.6449323974013906e+18,-2793.0,-7121.0,3246.0,frame_10462.jpeg
1.644932397444047e+18,-2895.0,-7096.0,3480.0,frame_10463.jpeg
1.6449323975059325e+18,-3123.0,-6837.0,3742.0,frame_10464.jpeg
1.6449323975453097e+18,-3006.0,-6930.0,3707.0,frame_10465.jpeg
1.644932397603129e+18,-2908.0,-7063.0,3578.0,frame_10466.jpeg
1.6449323976477537e+18,-2696.0,-7185.0,2947.0,frame_10467.jpeg
1.6449323977028114e+18,-2690.0,-7073.0,3609.0,frame_10468.jpeg
1.6449323977451684e+18,-2969.0,-6553.0,3772.0,frame_10469.jpeg
1.6449319260628823e+18,-3939.0,-6898.0,376.0,frame_1047.jpeg
1.6449323978051715e+18,-3019.0,-6917.0,3606.0,frame_10470.jpeg
1.6449323978530245e+18,-2873.0,-7119.0,3479.0,frame_10471.jpeg
1.6449323979059277e+18,-2877.0,-6964.0,3578.0,frame_10472.jpeg
1.6449323979473705e+18,-2874.0,-6775.0,3533.0,frame_10473.jpeg
1.644932397985179e+18,-2915.0,-6860.0,3538.0,frame_10474.jpeg
