timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6461501742260163e+18,1368.0,1424.0,-7791.0,frame_100.jpeg
1.6461501742762317e+18,1325.0,1595.0,-7800.0,frame_101.jpeg
1.6461501743300457e+18,1289.0,1720.0,-7759.0,frame_102.jpeg
1.6461501743705843e+18,1315.0,1787.0,-7748.0,frame_103.jpeg
1.6461501744265198e+18,1369.0,1888.0,-7712.0,frame_104.jpeg
1.6461501744731395e+18,1340.0,1984.0,-7648.0,frame_105.jpeg
1.646150174526684e+18,1396.0,2041.0,-7625.0,frame_106.jpeg
1.6461501745743227e+18,1394.0,2092.0,-7613.0,frame_107.jpeg
1.646150174628143e+18,1400.0,2077.0,-7592.0,frame_108.jpeg
1.6461501746758433e+18,1463.0,2055.0,-7637.0,frame_109.jpeg
1.6461501747278705e+18,1354.0,2096.0,-7608.0,frame_110.jpeg
1.6461502245883443e+18,8874.0,-2131.0,-4213.0,frame_1106.jpeg
1.64615022463966e+18,2873.0,-2390.0,-1989.0,frame_1107.jpeg
1.6461502246905021e+18,-451.0,-3277.0,-613.0,frame_1108.jpeg
1.6461502247380595e+18,-2655.0,-3492.0,-539.0,frame_1109.jpeg
1.6461501747807232e+18,1430.0,2041.0,-7637.0,frame_111.jpeg
1.646150224788316e+18,-1722.0,-924.0,-4211.0,frame_1110.jpeg
1.6461502248366717e+18,1376.0,-734.0,-6514.0,frame_1111.jpeg
1.6461502248890112e+18,1138.0,-1539.0,-7191.0,frame_1112.jpeg
1.6461502249419694e+18,1168.0,-1349.0,-7544.0,frame_1113.jpeg
1.646150224992331e+18,1758.0,-2200.0,-7387.0,frame_1114.jpeg
1.646150225039313e+18,1268.0,-1164.0,-8012.0,frame_1115.jpeg
1.6461502250931249e+18,679.0,-838.0,-8453.0,frame_1116.jpeg
1.6461502251418145e+18,1602.0,-317.0,-8060.0,frame_1117.jpeg
1.646150225193186e+18,2296.0,1106.0,-7941.0,frame_1118.jpeg
1.6461502252420001e+18,1308.0,766.0,-7497.0,frame_1119.jpeg
1.6461501748276895e+18,1341.0,2045.0,-7663.0,frame_112.jpeg
1.6461502252884058e+18,1532.0,434.0,-7304.0,frame_1120.jpeg
1.6461502253384166e+18,1247.0,768.0,-6808.0,frame_1121.jpeg
1.646150225391098e+18,1136.0,1584.0,-7822.0,frame_1122.jpeg
1.646150225440217e+18,700.0,1404.0,-8106.0,frame_1123.jpeg
1.646150225487255e+18,1077.0,601.0,-8215.0,frame_1124.jpeg
1.6461502255402365e+18,1818.0,312.0,-7720.0,frame_1125.jpeg
1.646150225592305e+18,1993.0,709.0,-8046.0,frame_1126.jpeg
1.6461502256371377e+18,2608.0,1479.0,-7605.0,frame_1127.jpeg
1.646150225689125e+18,1264.0,723.0,-7607.0,frame_1128.jpeg
1.6461502257403996e+18,1580.0,1197.0,-7350.0,frame_1129.jpeg
1.6461501748748088e+18,1398.0,1973.0,-7665.0,frame_113.jpeg
1.6461502257910623e+18,1646.0,306.0,-8043.0,frame_1130.jpeg
1.6461502258385372e+18,2341.0,451.0,-7622.0,frame_1131.jpeg
1.646150225890709e+18,2391.0,-171.0,-7367.0,frame_1132.jpeg
1.6461502259400517e+18,2861.0,509.0,-7367.0,frame_1133.jpeg
1.646150225991888e+18,2705.0,840.0,-7840.0,frame_1134.jpeg
1.6461502260380682e+18,2977.0,642.0,-7518.0,frame_1135.jpeg
1.646150226088101e+18,3182.0,437.0,-7390.0,frame_1136.jpeg
1.646150226140122e+18,3860.0,49.0,-7470.0,frame_1137.jpeg
1.6461502261935299e+18,3044.0,-526.0,-7180.0,frame_1138.jpeg
1.6461502262430543e+18,3613.0,316.0,-7413.0,frame_1139.jpeg
1.6461501749278118e+18,1368.0,1950.0,-7692.0,frame_114.jpeg
1.6461502262875853e+18,2624.0,13.0,-7392.0,frame_1140.jpeg
1.646150226346169e+18,3229.0,586.0,-7340.0,frame_1141.jpeg
1.64615022639131e+18,2756.0,94.0,-7357.0,frame_1142.jpeg
1.6461502264447475e+18,3259.0,139.0,-7313.0,frame_1143.jpeg
1.6461502264905283e+18,3250.0,392.0,-7170.0,frame_1144.jpeg
1.646150226544634e+18,3321.0,782.0,-7285.0,frame_1145.jpeg
1.6461502265912778e+18,3313.0,1423.0,-7353.0,frame_1146.jpeg
1.6461502266404442e+18,2661.0,1191.0,-7153.0,frame_1147.jpeg
