timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6461470863550397e+18,1763.0,7744.0,-1606.0,frame_100.jpeg
1.646147086403404e+18,1783.0,7734.0,-1629.0,frame_101.jpeg
1.6461470864573914e+18,1748.0,7685.0,-1689.0,frame_102.jpeg
1.6461470865053025e+18,1842.0,7707.0,-1656.0,frame_103.jpeg
1.6461470865559112e+18,1875.0,7735.0,-1638.0,frame_104.jpeg
1.64614708660349e+18,1868.0,7715.0,-1681.0,frame_105.jpeg
1.6461470866572027e+18,1812.0,7696.0,-1703.0,frame_106.jpeg
1.646147086705891e+18,1808.0,7705.0,-1659.0,frame_107.jpeg
1.6461470867598244e+18,1856.0,7729.0,-1634.0,frame_108.jpeg
1.646147086798963e+18,1852.0,7702.0,-1659.0,frame_109.jpeg
1.6461470868578176e+18,1851.0,7688.0,-1668.0,frame_110.jpeg
1.6461476354442995e+18,2573.0,398.0,-7650.0,frame_11068.jpeg
1.6461476354904294e+18,2673.0,366.0,-7527.0,frame_11069.jpeg
1.6461476355394468e+18,2303.0,149.0,-7508.0,frame_11070.jpeg
1.6461476355894817e+18,2643.0,404.0,-7521.0,frame_11071.jpeg
1.6461476356431188e+18,2560.0,229.0,-7611.0,frame_11072.jpeg
1.6461476356902764e+18,2691.0,392.0,-7557.0,frame_11073.jpeg
1.6461476357394593e+18,2463.0,205.0,-7594.0,frame_11074.jpeg
1.6461476357885514e+18,2688.0,130.0,-7568.0,frame_11075.jpeg
1.6461476358382802e+18,2622.0,232.0,-7565.0,frame_11076.jpeg
1.6461476358939988e+18,2534.0,292.0,-7649.0,frame_11077.jpeg
1.6461476359383252e+18,2523.0,268.0,-7437.0,frame_11078.jpeg
1.6461476359943772e+18,2629.0,56.0,-7634.0,frame_11079.jpeg
1.6461476360392632e+18,2811.0,298.0,-7680.0,frame_11080.jpeg
1.646147636093517e+18,2401.0,112.0,-7571.0,frame_11081.jpeg
1.6461476361436772e+18,2111.0,55.0,-7517.0,frame_11082.jpeg
