timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.64614880789099e+18,2715.0,1731.0,-7249.0,frame_100.jpeg
1.6461488529488274e+18,3794.0,2204.0,-6648.0,frame_1000.jpeg
1.646148852994932e+18,3825.0,2237.0,-6642.0,frame_1001.jpeg
1.6461488530660152e+18,3829.0,2240.0,-6655.0,frame_1002.jpeg
1.6461488531050473e+18,3834.0,2208.0,-6660.0,frame_1003.jpeg
1.6461488531559606e+18,3768.0,2075.0,-6613.0,frame_1004.jpeg
1.6461488531965714e+18,3801.0,2179.0,-6633.0,frame_1005.jpeg
1.6461488532466747e+18,3861.0,2193.0,-6729.0,frame_1006.jpeg
1.646148853293361e+18,3802.0,2231.0,-6661.0,frame_1007.jpeg
1.646148853355819e+18,3759.0,2199.0,-6635.0,frame_1008.jpeg
1.6461488534205773e+18,3859.0,2187.0,-6688.0,frame_1009.jpeg
1.6461488079416323e+18,2811.0,1641.0,-7257.0,frame_101.jpeg
1.64614885344493e+18,3794.0,2151.0,-6652.0,frame_1010.jpeg
1.6461488534996882e+18,3847.0,2195.0,-6662.0,frame_1011.jpeg
1.6461488535446723e+18,3821.0,2206.0,-6614.0,frame_1012.jpeg
1.646148853600861e+18,3867.0,2203.0,-6680.0,frame_1013.jpeg
1.6461488536502382e+18,3788.0,2125.0,-6633.0,frame_1014.jpeg
1.646148853700931e+18,3826.0,2174.0,-6704.0,frame_1015.jpeg
1.6461488537483766e+18,3782.0,2238.0,-6694.0,frame_1016.jpeg
1.646148853803556e+18,3837.0,2184.0,-6651.0,frame_1017.jpeg
1.646148853846525e+18,3855.0,2109.0,-6668.0,frame_1018.jpeg
1.6461488539028506e+18,3840.0,2162.0,-6637.0,frame_1019.jpeg
1.6461488079896835e+18,2782.0,1564.0,-7341.0,frame_102.jpeg
1.6461488539442342e+18,3837.0,2224.0,-6667.0,frame_1020.jpeg
1.646148854003109e+18,3798.0,2219.0,-6688.0,frame_1021.jpeg
1.646148854048498e+18,3881.0,2104.0,-6673.0,frame_1022.jpeg
1.646148854098346e+18,3892.0,2133.0,-6681.0,frame_1023.jpeg
1.6461488541439972e+18,3866.0,2108.0,-6691.0,frame_1024.jpeg
1.6461488542030252e+18,3822.0,2238.0,-6651.0,frame_1025.jpeg
1.6461488542516252e+18,3863.0,2136.0,-6689.0,frame_1026.jpeg
1.6461488542982103e+18,3802.0,2163.0,-6678.0,frame_1027.jpeg
1.6461488543522335e+18,3813.0,2206.0,-6624.0,frame_1028.jpeg
1.646148854397681e+18,3887.0,2367.0,-6547.0,frame_1029.jpeg
