timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6449319237214682e+18,8288.0,1423.0,2907.0,frame_1000.jpeg
1.644931923774491e+18,8498.0,1159.0,2732.0,frame_1001.jpeg
1.644931923774491e+18,8498.0,1159.0,2732.0,frame_1002.jpeg
1.6449319238537393e+18,8143.0,1147.0,2806.0,frame_1003.jpeg
1.644931923898792e+18,7851.0,1300.0,2912.0,frame_1004.jpeg
1.6449319239900685e+18,7788.0,1257.0,2976.0,frame_1005.jpeg
1.6449319239900685e+18,7788.0,1257.0,2976.0,frame_1006.jpeg
1.644931924030747e+18,7618.0,1095.0,3042.0,frame_1007.jpeg
1.644931924168073e+18,7547.0,1041.0,3087.0,frame_1008.jpeg
1.644931924168073e+18,7547.0,1041.0,3087.0,frame_1009.jpeg
1.6449319242096978e+18,7294.0,952.0,2728.0,frame_1010.jpeg
1.6449319242595226e+18,5840.0,3777.0,3493.0,frame_1011.jpeg
1.6449319243099425e+18,7083.0,5110.0,3955.0,frame_1012.jpeg
1.6449319243601313e+18,4871.0,4070.0,4283.0,frame_1013.jpeg
1.6449319244161784e+18,6449.0,5482.0,4542.0,frame_1014.jpeg
1.6449319244605586e+18,5575.0,5722.0,4118.0,frame_1015.jpeg
1.6449319245094275e+18,4900.0,5769.0,3201.0,frame_1016.jpeg
1.6449319245597036e+18,5173.0,5843.0,3323.0,frame_1017.jpeg
1.6449319246097485e+18,4860.0,5774.0,2666.0,frame_1018.jpeg
1.6449319246636221e+18,5373.0,6319.0,2652.0,frame_1019.jpeg
1.6449319247109814e+18,4441.0,6123.0,2701.0,frame_1020.jpeg
1.644931924765089e+18,5061.0,6035.0,2171.0,frame_1021.jpeg
1.6449319248112425e+18,5478.0,5785.0,2120.0,frame_1022.jpeg
1.6449319248649252e+18,5449.0,5409.0,1928.0,frame_1023.jpeg
1.6449319249104143e+18,5970.0,5453.0,1718.0,frame_1024.jpeg
1.644931924963361e+18,6357.0,5767.0,1919.0,frame_1025.jpeg
1.6449319250089367e+18,6414.0,5636.0,1623.0,frame_1026.jpeg
1.6449319250558423e+18,6374.0,5589.0,1460.0,frame_1027.jpeg
1.6449319251089334e+18,5674.0,5521.0,1304.0,frame_1028.jpeg
1.644931925164021e+18,5422.0,5749.0,891.0,frame_1029.jpeg
1.6449319252089907e+18,5727.0,5825.0,672.0,frame_1030.jpeg
1.6449319252633085e+18,5772.0,5974.0,85.0,frame_1031.jpeg
1.6449319253100938e+18,5642.0,5648.0,-57.0,frame_1032.jpeg
1.6449319253637967e+18,5818.0,5751.0,-462.0,frame_1033.jpeg
1.6449319253866486e+18,5720.0,5735.0,-707.0,frame_1034.jpeg
1.644931925458624e+18,5712.0,5702.0,-725.0,frame_1035.jpeg
1.644931925498157e+18,5576.0,5766.0,-448.0,frame_1036.jpeg
1.6449319255485294e+18,5625.0,5781.0,-381.0,frame_1037.jpeg
1.6449319256083374e+18,5822.0,5815.0,-267.0,frame_1038.jpeg
1.6449319256683272e+18,6000.0,5738.0,-243.0,frame_1039.jpeg
1.6449319257147643e+18,5973.0,5738.0,-222.0,frame_1040.jpeg
1.6449319257587308e+18,4857.0,5268.0,1316.0,frame_1041.jpeg
1.644932395248235e+18,7935.0,-587.0,-965.0,frame_10419.jpeg
1.6449319258113441e+18,5579.0,5674.0,1489.0,frame_1042.jpeg
1.644932395299063e+18,8078.0,-679.0,-1003.0,frame_10420.jpeg
1.6449323953461658e+18,7911.0,-557.0,-1020.0,frame_10421.jpeg
1.6449323953979356e+18,8117.0,-641.0,-1359.0,frame_10422.jpeg
1.6449323954433876e+18,7744.0,-343.0,-1411.0,frame_10423.jpeg
1.6449323954997292e+18,7796.0,-587.0,-1614.0,frame_10424.jpeg
1.64493239554886e+18,7884.0,-439.0,-1076.0,frame_10425.jpeg
1.644932395597768e+18,8059.0,-550.0,-671.0,frame_10426.jpeg
1.644932395648227e+18,8135.0,-521.0,-792.0,frame_10427.jpeg
1.64493239569844e+18,7966.0,-360.0,-894.0,frame_10428.jpeg
1.6449323957508905e+18,7706.0,-648.0,-1902.0,frame_10429.jpeg
1.6449319258641487e+18,5513.0,5507.0,1727.0,frame_1043.jpeg
1.6449323957983877e+18,7950.0,-817.0,-1500.0,frame_10430.jpeg
1.6449323958475722e+18,7869.0,-611.0,-1379.0,frame_10431.jpeg
1.6449323958985628e+18,7857.0,-401.0,-935.0,frame_10432.jpeg
1.6449323959530803e+18,7777.0,-709.0,-1340.0,frame_10433.jpeg
1.6449323959984223e+18,7812.0,-523.0,-1500.0,frame_10434.jpeg
1.644932396053599e+18,7856.0,-797.0,-1385.0,frame_10435.jpeg
1.6449323961047022e+18,7879.0,-540.0,-1116.0,frame_10436.jpeg
1.6449323961514906e+18,7922.0,-722.0,-1269.0,frame_10437.jpeg
1.6449323961967347e+18,7953.0,-621.0,-1353.0,frame_10438.jpeg
1.6449323962535703e+18,7946.0,-727.0,-1265.0,frame_10439.jpeg
1.6449319259160404e+18,5220.0,5120.0,1424.0,frame_1044.jpeg
1.6449323963001426e+18,7870.0,-619.0,-1319.0,frame_10440.jpeg
1.6449323963505428e+18,7921.0,-638.0,-1433.0,frame_10441.jpeg
1.6449323963977021e+18,7730.0,-640.0,-1683.0,frame_10442.jpeg
1.6449323964508918e+18,7834.0,-677.0,-1525.0,frame_10443.jpeg
1.6449323964992814e+18,7856.0,-703.0,-1305.0,frame_10444.jpeg
1.6449323965534423e+18,7932.0,-579.0,-1240.0,frame_10445.jpeg
1.6449323966136061e+18,7970.0,-354.0,-826.0,frame_10446.jpeg
1.6449323966537178e+18,7731.0,-886.0,-1648.0,frame_10447.jpeg
1.644932396697343e+18,7797.0,-572.0,-1773.0,frame_10448.jpeg
1.64493239675019e+18,7783.0,-683.0,-1712.0,frame_10449.jpeg
1.6449319259643464e+18,5298.0,5283.0,1102.0,frame_1045.jpeg
1.6449323967967073e+18,7952.0,-738.0,-1190.0,frame_10450.jpeg
1.64493239684903e+18,7923.0,-646.0,-1454.0,frame_10451.jpeg
1.6449323968971277e+18,7717.0,-653.0,-1829.0,frame_10452.jpeg
1.6449323969527316e+18,7809.0,-740.0,-1643.0,frame_10453.jpeg
1.6449323969963814e+18,7867.0,-639.0,-1270.0,frame_10454.jpeg
1.6449323970515036e+18,8099.0,-590.0,-957.0,frame_10455.jpeg
1.6449323970983616e+18,7955.0,-606.0,-1181.0,frame_10456.jpeg
1.644932397153872e+18,7676.0,-656.0,-1705.0,frame_10457.jpeg
1.6449323972015516e+18,7771.0,-644.0,-1414.0,frame_10458.jpeg
1.6449323972553615e+18,7905.0,-755.0,-1366.0,frame_10459.jpeg
1.6449319260122854e+18,6395.0,5932.0,580.0,frame_1046.jpeg
1.6449323972970153e+18,7860.0,-588.0,-1163.0,frame_10460.jpeg
1.6449323973771418e+18,7958.0,-859.0,-1155.0,frame_10461.jpeg
1.6449323974017308e+18,8042.0,-617.0,-682.0,frame_10462.jpeg
1.6449323974602903e+18,8036.0,-931.0,-862.0,frame_10463.jpeg
1.6449323975063007e+18,7934.0,-832.0,-1202.0,frame_10464.jpeg
1.644932397545611e+18,7993.0,-808.0,-1096.0,frame_10465.jpeg
1.644932397603393e+18,8004.0,-801.0,-884.0,frame_10466.jpeg
1.6449323976479647e+18,8024.0,-314.0,-263.0,frame_10467.jpeg
1.6449323977032274e+18,7911.0,-782.0,-976.0,frame_10468.jpeg
1.6449323977452787e+18,7744.0,-692.0,-1291.0,frame_10469.jpeg
1.6449319260632353e+18,5151.0,5806.0,-970.0,frame_1047.jpeg
1.6449323978054564e+18,8046.0,-616.0,-904.0,frame_10470.jpeg
1.6449323978532972e+18,8099.0,-618.0,-654.0,frame_10471.jpeg
1.644932397901655e+18,8009.0,-613.0,-917.0,frame_10472.jpeg
1.6449323979476513e+18,7917.0,-536.0,-905.0,frame_10473.jpeg
1.6449323979853722e+18,7941.0,-566.0,-826.0,frame_10474.jpeg
1.6449323980962207e+18,7961.0,-580.0,-809.0,frame_10475.jpeg
1.6449323980962207e+18,7961.0,-580.0,-809.0,frame_10476.jpeg
1.64493239815191e+18,8005.0,-582.0,-848.0,frame_10477.jpeg
1.644932398204084e+18,7826.0,-429.0,-1264.0,frame_10478.jpeg
1.6449323982504617e+18,7924.0,-709.0,-1177.0,frame_10479.jpeg
1.6449319261165855e+18,5025.0,5066.0,-2153.0,frame_1048.jpeg
1.6449323982622326e+18,8064.0,-526.0,-1164.0,frame_10480.jpeg
1.6449323983531075e+18,7858.0,-192.0,-757.0,frame_10481.jpeg
