timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6461488078915845e+18,-4454.0,3913.0,5207.0,frame_100.jpeg
1.646148852949854e+18,-4607.0,6094.0,2421.0,frame_1000.jpeg
1.646148853000898e+18,-4543.0,6136.0,2421.0,frame_1001.jpeg
1.6461488530458557e+18,-4807.0,6251.0,2671.0,frame_1002.jpeg
1.6461488530979013e+18,-4565.0,6001.0,2498.0,frame_1003.jpeg
1.6461488531454203e+18,-4647.0,6289.0,2669.0,frame_1004.jpeg
1.646148853201567e+18,-4516.0,5954.0,2461.0,frame_1005.jpeg
1.6461488532508385e+18,-4643.0,6262.0,2629.0,frame_1006.jpeg
1.6461488533001938e+18,-4464.0,6101.0,2623.0,frame_1007.jpeg
1.646148853346863e+18,-4570.0,6114.0,2539.0,frame_1008.jpeg
1.6461488533989496e+18,-4570.0,6164.0,2471.0,frame_1009.jpeg
1.6461488079421732e+18,-4478.0,4034.0,5207.0,frame_101.jpeg
1.646148853444608e+18,-4493.0,6141.0,2564.0,frame_1010.jpeg
1.6461488535003996e+18,-4540.0,6258.0,2612.0,frame_1011.jpeg
1.6461488535487396e+18,-4503.0,6084.0,2511.0,frame_1012.jpeg
1.6461488535999744e+18,-4565.0,6261.0,2575.0,frame_1013.jpeg
1.6461488536464317e+18,-4504.0,6219.0,2604.0,frame_1014.jpeg
1.6461488536990597e+18,-4549.0,6243.0,2616.0,frame_1015.jpeg
1.6461488537467348e+18,-4530.0,6172.0,2523.0,frame_1016.jpeg
1.6461488538005588e+18,-4546.0,6124.0,2446.0,frame_1017.jpeg
1.6461488538459046e+18,-4554.0,6239.0,2668.0,frame_1018.jpeg
1.6461488539032998e+18,-4505.0,6197.0,2716.0,frame_1019.jpeg
1.646148807991593e+18,-4443.0,4023.0,5403.0,frame_102.jpeg
1.646148853942063e+18,-4576.0,6136.0,2597.0,frame_1020.jpeg
1.6461488539998449e+18,-4570.0,6099.0,2474.0,frame_1021.jpeg
1.6461488540483098e+18,-4580.0,6168.0,2525.0,frame_1022.jpeg
1.6461488541015368e+18,-4566.0,6154.0,2663.0,frame_1023.jpeg
1.6461488541463068e+18,-4591.0,6093.0,2573.0,frame_1024.jpeg
1.6461488541982154e+18,-4566.0,6196.0,2558.0,frame_1025.jpeg
1.6461488542500928e+18,-4542.0,6210.0,2629.0,frame_1026.jpeg
1.6461488542984092e+18,-4524.0,6185.0,2603.0,frame_1027.jpeg
1.6461488543525896e+18,-4600.0,6227.0,2673.0,frame_1028.jpeg
1.6461488543988467e+18,-4528.0,6122.0,2687.0,frame_1029.jpeg
1.6461488080426301e+18,-4335.0,4071.0,5396.0,frame_103.jpeg
1.6461488544513533e+18,-4650.0,6070.0,2550.0,frame_1030.jpeg
1.6461488544993928e+18,-4634.0,6008.0,2574.0,frame_1031.jpeg
1.6461488545499505e+18,-4627.0,5964.0,2591.0,frame_1032.jpeg
1.646148854599623e+18,-4654.0,5963.0,2612.0,frame_1033.jpeg
1.6461488546527521e+18,-4600.0,6042.0,2662.0,frame_1034.jpeg
1.6461488547008259e+18,-4574.0,6037.0,2692.0,frame_1035.jpeg
1.646148854751238e+18,-4592.0,6135.0,2659.0,frame_1036.jpeg
1.6461488547985848e+18,-4553.0,6193.0,2701.0,frame_1037.jpeg
1.646148854852879e+18,-4585.0,6056.0,2717.0,frame_1038.jpeg
1.6461488549009805e+18,-4638.0,6140.0,2599.0,frame_1039.jpeg
1.6461488080908805e+18,-4354.0,4057.0,5403.0,frame_104.jpeg
1.6461488549488806e+18,-4579.0,6115.0,2607.0,frame_1040.jpeg
1.6461488550036137e+18,-4610.0,6193.0,2620.0,frame_1041.jpeg
1.646148855049168e+18,-4599.0,6046.0,2584.0,frame_1042.jpeg
1.6461488550971213e+18,-4674.0,6143.0,2551.0,frame_1043.jpeg
1.646148808144094e+18,-4394.0,4092.0,5307.0,frame_105.jpeg
1.646148808191132e+18,-4406.0,4052.0,5362.0,frame_106.jpeg
1.6461488082421842e+18,-4391.0,4021.0,5364.0,frame_107.jpeg
1.6461488082914045e+18,-4318.0,4066.0,5264.0,frame_108.jpeg
1.6461488083400228e+18,-4375.0,4074.0,5311.0,frame_109.jpeg
1.6461488083885783e+18,-4412.0,4107.0,5393.0,frame_110.jpeg
1.6461488581543547e+18,-1207.0,8714.0,378.0,frame_1104.jpeg
1.646148858204071e+18,-1577.0,8988.0,708.0,frame_1105.jpeg
1.6461488582560873e+18,-1460.0,8579.0,604.0,frame_1106.jpeg
1.6461488582990252e+18,-1578.0,8367.0,460.0,frame_1107.jpeg
1.6461488583512228e+18,-1803.0,7883.0,812.0,frame_1108.jpeg
1.6461488583988106e+18,-1634.0,7552.0,935.0,frame_1109.jpeg
1.6461488084445248e+18,-4357.0,4036.0,5370.0,frame_111.jpeg
1.646148858455558e+18,-1151.0,7596.0,1137.0,frame_1110.jpeg
1.6461488585045903e+18,-743.0,7725.0,1112.0,frame_1111.jpeg
1.646148858556057e+18,-509.0,8034.0,1187.0,frame_1112.jpeg
1.646148858600819e+18,-351.0,8113.0,1053.0,frame_1113.jpeg
1.6461488586560067e+18,-472.0,8346.0,1141.0,frame_1114.jpeg
1.6461488587044419e+18,-386.0,8550.0,841.0,frame_1115.jpeg
1.646148858755472e+18,-363.0,8530.0,870.0,frame_1116.jpeg
1.6461488588038444e+18,-499.0,8575.0,806.0,frame_1117.jpeg
1.6461488588552635e+18,-575.0,8538.0,804.0,frame_1118.jpeg
1.6461488589016788e+18,-562.0,8342.0,854.0,frame_1119.jpeg
1.646148808489928e+18,-4350.0,4083.0,5339.0,frame_112.jpeg
1.6461488589563348e+18,-640.0,8272.0,885.0,frame_1120.jpeg
1.6461488590044465e+18,-656.0,8254.0,876.0,frame_1121.jpeg
1.6461488590584005e+18,-678.0,8245.0,860.0,frame_1122.jpeg
1.646148859110506e+18,-598.0,8288.0,869.0,frame_1123.jpeg
1.646148859156174e+18,-576.0,8334.0,875.0,frame_1124.jpeg
1.6461488592049692e+18,-590.0,8418.0,917.0,frame_1125.jpeg
1.6461488592573957e+18,-625.0,8427.0,930.0,frame_1126.jpeg
1.646148859307403e+18,-701.0,8421.0,931.0,frame_1127.jpeg
1.646148859349844e+18,-737.0,8374.0,947.0,frame_1128.jpeg
1.6461488594110894e+18,-733.0,8303.0,947.0,frame_1129.jpeg
1.646148808540681e+18,-4335.0,4087.0,5344.0,frame_113.jpeg
1.6461488594572e+18,-744.0,8330.0,962.0,frame_1130.jpeg
1.6461488595099648e+18,-704.0,8350.0,899.0,frame_1131.jpeg
1.6461488595541714e+18,-681.0,8698.0,832.0,frame_1132.jpeg
1.6461488596050253e+18,-460.0,9128.0,952.0,frame_1133.jpeg
1.6461488596521219e+18,-220.0,9356.0,1337.0,frame_1134.jpeg
1.6461488597090765e+18,310.0,8968.0,1334.0,frame_1135.jpeg
1.646148859753468e+18,408.0,8187.0,1164.0,frame_1136.jpeg
1.646148859808124e+18,118.0,7444.0,952.0,frame_1137.jpeg
1.6461488598523855e+18,-82.0,7178.0,921.0,frame_1138.jpeg
1.6461488599053903e+18,-358.0,7264.0,1006.0,frame_1139.jpeg
1.646148808591818e+18,-4368.0,4112.0,5315.0,frame_114.jpeg
1.6461488599554066e+18,-425.0,7473.0,1179.0,frame_1140.jpeg
1.6461488600030454e+18,-302.0,7865.0,1351.0,frame_1141.jpeg
1.6461488600535406e+18,-221.0,8290.0,1546.0,frame_1142.jpeg
1.6461488601075948e+18,-118.0,8484.0,1545.0,frame_1143.jpeg
1.646148860160526e+18,-157.0,8631.0,1536.0,frame_1144.jpeg
1.6461488602100608e+18,-197.0,8593.0,1601.0,frame_1145.jpeg
1.646148860257048e+18,-242.0,8613.0,1553.0,frame_1146.jpeg
1.6461488603044308e+18,-345.0,8488.0,1546.0,frame_1147.jpeg
1.6461488603552095e+18,-332.0,8348.0,1433.0,frame_1148.jpeg
