timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6455430750572393e+18,-3825.0,3596.0,6130.0,frame_100.jpeg
1.6455431201153692e+18,1538.0,7258.0,-4562.0,frame_1000.jpeg
1.645543120159636e+18,1580.0,7110.0,-4974.0,frame_1001.jpeg
1.6455431202148623e+18,1450.0,7110.0,-3996.0,frame_1002.jpeg
1.6455431202613617e+18,1708.0,7714.0,-6248.0,frame_1003.jpeg
1.6455431203160428e+18,1165.0,6875.0,-4722.0,frame_1004.jpeg
1.645543120364905e+18,1540.0,6433.0,-5538.0,frame_1005.jpeg
1.6455431204169372e+18,1663.0,6602.0,-5654.0,frame_1006.jpeg
1.6455431204645501e+18,1493.0,6827.0,-4926.0,frame_1007.jpeg
1.6455431205180362e+18,1757.0,6315.0,-5542.0,frame_1008.jpeg
1.645543120566559e+18,1725.0,6842.0,-4869.0,frame_1009.jpeg
1.645543075102827e+18,-3831.0,3617.0,6139.0,frame_101.jpeg
1.6455431206164751e+18,2356.0,6686.0,-5443.0,frame_1010.jpeg
1.6455431206655544e+18,1441.0,6378.0,-4513.0,frame_1011.jpeg
1.6455431207158175e+18,1083.0,6937.0,-4150.0,frame_1012.jpeg
1.6455431207646559e+18,1298.0,6760.0,-4594.0,frame_1013.jpeg
1.6455431208218875e+18,1656.0,6641.0,-5019.0,frame_1014.jpeg
1.6455431208610176e+18,1694.0,7680.0,-4997.0,frame_1015.jpeg
1.64554312091729e+18,1296.0,8052.0,-4171.0,frame_1016.jpeg
1.6455431209661174e+18,1308.0,9147.0,-3892.0,frame_1017.jpeg
1.6455431210172946e+18,1349.0,7983.0,-2245.0,frame_1018.jpeg
1.6455431210661023e+18,1437.0,8869.0,-2095.0,frame_1019.jpeg
1.6455430751584102e+18,-3828.0,3624.0,6132.0,frame_102.jpeg
1.645543121116229e+18,1618.0,7103.0,-369.0,frame_1020.jpeg
1.6455431211656312e+18,1912.0,8427.0,506.0,frame_1021.jpeg
1.645543121216898e+18,1582.0,8068.0,1489.0,frame_1022.jpeg
1.6455431212624105e+18,1888.0,9071.0,2088.0,frame_1023.jpeg
1.6455431213172751e+18,1614.0,5815.0,2268.0,frame_1024.jpeg
1.645543121366161e+18,1312.0,7279.0,3402.0,frame_1025.jpeg
1.6455431214152205e+18,1396.0,8494.0,3968.0,frame_1026.jpeg
1.6455431214621348e+18,1301.0,8374.0,4172.0,frame_1027.jpeg
1.6455431215182623e+18,2215.0,8167.0,3031.0,frame_1028.jpeg
1.645543121562721e+18,2213.0,7895.0,1352.0,frame_1029.jpeg
1.6455430752121267e+18,-3810.0,3623.0,6171.0,frame_103.jpeg
1.6455431216158643e+18,1538.0,6239.0,2520.0,frame_1030.jpeg
1.64554312166581e+18,617.0,5294.0,4722.0,frame_1031.jpeg
1.6455431217160486e+18,-181.0,3382.0,4352.0,frame_1032.jpeg
1.645543121766974e+18,-869.0,6835.0,2748.0,frame_1033.jpeg
1.6455431218182116e+18,-743.0,8507.0,2191.0,frame_1034.jpeg
1.6455431218655532e+18,-737.0,9304.0,1734.0,frame_1035.jpeg
1.6455431219122808e+18,-952.0,9403.0,1272.0,frame_1036.jpeg
1.6455431219677832e+18,-969.0,9065.0,371.0,frame_1037.jpeg
1.645543122010708e+18,-1336.0,9108.0,74.0,frame_1038.jpeg
1.645543122068598e+18,-1932.0,7910.0,477.0,frame_1039.jpeg
1.6455430752577505e+18,-3809.0,3626.0,6137.0,frame_104.jpeg
1.6455431221278246e+18,-1933.0,7844.0,351.0,frame_1040.jpeg
1.6455431221694702e+18,-2412.0,8551.0,-552.0,frame_1041.jpeg
1.645543075308418e+18,-3817.0,3611.0,6118.0,frame_105.jpeg
1.645543075352969e+18,-3824.0,3630.0,6124.0,frame_106.jpeg
1.6455430754087148e+18,-3821.0,3631.0,6147.0,frame_107.jpeg
1.6455436058774116e+18,-744.0,8174.0,2247.0,frame_10703.jpeg
1.6455436059207488e+18,-614.0,8187.0,2156.0,frame_10704.jpeg
1.6455436059735547e+18,-648.0,8173.0,2059.0,frame_10705.jpeg
1.645543606020883e+18,-636.0,8159.0,2058.0,frame_10706.jpeg
1.6455436060724257e+18,-800.0,8115.0,2063.0,frame_10707.jpeg
1.6455436061192325e+18,-824.0,7988.0,2078.0,frame_10708.jpeg
1.6455436061716772e+18,-872.0,7967.0,2147.0,frame_10709.jpeg
1.6455436062240233e+18,-889.0,7947.0,2266.0,frame_10710.jpeg
1.6455436062733752e+18,-901.0,7904.0,2345.0,frame_10711.jpeg
1.645543606324999e+18,-894.0,7982.0,2319.0,frame_10712.jpeg
1.6455436063707912e+18,-744.0,7972.0,2267.0,frame_10713.jpeg
1.6455436064203628e+18,-729.0,7968.0,2257.0,frame_10714.jpeg
1.6455436064720607e+18,-801.0,8107.0,2296.0,frame_10715.jpeg
1.6455436065201393e+18,-804.0,8062.0,2239.0,frame_10716.jpeg
1.645543606571575e+18,-763.0,8078.0,2232.0,frame_10717.jpeg
1.645543606621084e+18,-787.0,7952.0,2237.0,frame_10718.jpeg
1.6455436066753318e+18,-721.0,8004.0,2080.0,frame_10719.jpeg
1.6455436067225943e+18,-591.0,8148.0,2012.0,frame_10720.jpeg
1.6455436067774047e+18,-584.0,8196.0,2043.0,frame_10721.jpeg
1.6455436068261596e+18,-678.0,8182.0,2105.0,frame_10722.jpeg
1.645543606867731e+18,-770.0,8193.0,2167.0,frame_10723.jpeg
1.6455436069269071e+18,-827.0,8066.0,2173.0,frame_10724.jpeg
1.6455436069724168e+18,-830.0,7951.0,2223.0,frame_10725.jpeg
1.6455436070278405e+18,-950.0,7946.0,2290.0,frame_10726.jpeg
1.645543607075324e+18,-1089.0,7993.0,2352.0,frame_10727.jpeg
1.6455436071295503e+18,-1053.0,7893.0,2366.0,frame_10728.jpeg
1.64554360717605e+18,-1003.0,7849.0,2402.0,frame_10729.jpeg
1.6455436072258314e+18,-1017.0,7865.0,2412.0,frame_10730.jpeg
1.645543607272298e+18,-1030.0,7928.0,2387.0,frame_10731.jpeg
