timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6450229277193564e+18,-6044.0,2012.0,4562.0,frame_100.jpeg
1.6450229727771244e+18,-4959.0,3583.0,5213.0,frame_1000.jpeg
1.6450229728312737e+18,-4899.0,3450.0,5131.0,frame_1001.jpeg
1.645022972876238e+18,-4896.0,3485.0,5149.0,frame_1002.jpeg
1.6450229729271887e+18,-4853.0,3547.0,5191.0,frame_1003.jpeg
1.6450229729782308e+18,-4864.0,3595.0,5213.0,frame_1004.jpeg
1.6450229730315197e+18,-4890.0,3592.0,5152.0,frame_1005.jpeg
1.645022973075435e+18,-4879.0,3602.0,5119.0,frame_1006.jpeg
1.6450229731275026e+18,-4933.0,3600.0,5149.0,frame_1007.jpeg
1.6450229731759688e+18,-4967.0,3651.0,5120.0,frame_1008.jpeg
1.6450229732267487e+18,-5011.0,3661.0,5098.0,frame_1009.jpeg
1.6450229277714788e+18,-6071.0,2051.0,4562.0,frame_101.jpeg
1.6450229732754163e+18,-5000.0,3638.0,5078.0,frame_1010.jpeg
1.6450229733255122e+18,-4961.0,3576.0,5081.0,frame_1011.jpeg
1.6450229733750198e+18,-4972.0,3590.0,5095.0,frame_1012.jpeg
1.6450229734261476e+18,-5049.0,3599.0,5072.0,frame_1013.jpeg
1.6450229734758812e+18,-5086.0,3585.0,5038.0,frame_1014.jpeg
1.6450229735304228e+18,-5092.0,3586.0,5048.0,frame_1015.jpeg
1.6450229735765507e+18,-5072.0,3542.0,5017.0,frame_1016.jpeg
1.6450229736291282e+18,-5075.0,3524.0,5026.0,frame_1017.jpeg
1.645022973675031e+18,-5068.0,3543.0,5085.0,frame_1018.jpeg
1.6450229737312801e+18,-5033.0,3500.0,5074.0,frame_1019.jpeg
1.6450229278195832e+18,-6047.0,2044.0,4524.0,frame_102.jpeg
1.6450229737754644e+18,-5027.0,3572.0,5074.0,frame_1020.jpeg
1.645022973829875e+18,-5097.0,3522.0,5065.0,frame_1021.jpeg
1.645022973877063e+18,-5100.0,3557.0,5065.0,frame_1022.jpeg
1.6450229739285356e+18,-5017.0,3583.0,5016.0,frame_1023.jpeg
1.6450229739774072e+18,-4945.0,3551.0,5108.0,frame_1024.jpeg
1.6450229740293102e+18,-5060.0,3511.0,5162.0,frame_1025.jpeg
1.6450229740781112e+18,-4959.0,3496.0,5205.0,frame_1026.jpeg
1.645022974131266e+18,-5001.0,3564.0,5052.0,frame_1027.jpeg
1.6450229741819587e+18,-5009.0,3490.0,5075.0,frame_1028.jpeg
1.645022974232282e+18,-4960.0,3550.0,5121.0,frame_1029.jpeg
1.64502292787178e+18,-6047.0,2028.0,4526.0,frame_103.jpeg
1.6450229742806758e+18,-4946.0,3499.0,5150.0,frame_1030.jpeg
1.645022974331492e+18,-4944.0,3487.0,5097.0,frame_1031.jpeg
1.6450229743819085e+18,-4936.0,3543.0,5173.0,frame_1032.jpeg
1.6450229744324844e+18,-4945.0,3522.0,5096.0,frame_1033.jpeg
1.6450229744810537e+18,-4953.0,3550.0,5169.0,frame_1034.jpeg
