timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6461501742241234e+18,-3935.0,4052.0,5652.0,frame_100.jpeg
1.6461501742804357e+18,-3935.0,4144.0,5719.0,frame_101.jpeg
1.6461501743259372e+18,-3918.0,4131.0,5693.0,frame_102.jpeg
1.646150174370943e+18,-3912.0,4155.0,5681.0,frame_103.jpeg
1.6461501744267423e+18,-3916.0,4101.0,5721.0,frame_104.jpeg
1.6461501744726538e+18,-3892.0,4117.0,5664.0,frame_105.jpeg
1.6461501745292375e+18,-3845.0,4140.0,5755.0,frame_106.jpeg
1.6461501745771988e+18,-3795.0,4157.0,5773.0,frame_107.jpeg
1.6461501746261138e+18,-3809.0,4165.0,5762.0,frame_108.jpeg
1.6461501746719135e+18,-3816.0,4151.0,5814.0,frame_109.jpeg
1.6461501747293248e+18,-3847.0,4145.0,5702.0,frame_110.jpeg
1.6461502245889464e+18,-260.0,8198.0,-1845.0,frame_1106.jpeg
1.6461502246392714e+18,-169.0,7931.0,-1865.0,frame_1107.jpeg
1.6461502246901921e+18,-356.0,8578.0,-2079.0,frame_1108.jpeg
1.6461502247351483e+18,-289.0,8506.0,-2426.0,frame_1109.jpeg
1.6461501747814717e+18,-3868.0,4153.0,5739.0,frame_111.jpeg
1.646150224790664e+18,-275.0,8235.0,-1940.0,frame_1110.jpeg
1.6461502248391485e+18,-342.0,8502.0,-1664.0,frame_1111.jpeg
1.6461502248913375e+18,-212.0,8179.0,-1718.0,frame_1112.jpeg
1.6461502249395756e+18,-90.0,8485.0,-1820.0,frame_1113.jpeg
1.6461502249900557e+18,-170.0,8545.0,-1564.0,frame_1114.jpeg
1.6461502250381012e+18,-231.0,7945.0,-1372.0,frame_1115.jpeg
1.646150225088637e+18,-58.0,8394.0,-1521.0,frame_1116.jpeg
1.6461502251395904e+18,108.0,8318.0,-1795.0,frame_1117.jpeg
1.646150225190968e+18,-21.0,8165.0,-1593.0,frame_1118.jpeg
1.6461502252387087e+18,-180.0,8347.0,-1842.0,frame_1119.jpeg
1.6461501748260943e+18,-3821.0,4132.0,5765.0,frame_112.jpeg
1.6461502252875459e+18,-213.0,8421.0,-1695.0,frame_1120.jpeg
1.646150225339751e+18,86.0,8038.0,-1794.0,frame_1121.jpeg
1.6461502253902234e+18,189.0,8038.0,-2440.0,frame_1122.jpeg
1.6461502254383951e+18,-20.0,8534.0,-2380.0,frame_1123.jpeg
1.6461502254900728e+18,31.0,8404.0,-1830.0,frame_1124.jpeg
1.6461502255401377e+18,6.0,8269.0,-1969.0,frame_1125.jpeg
1.6461502255889516e+18,8.0,8365.0,-1980.0,frame_1126.jpeg
1.6461502256409285e+18,-5.0,8075.0,-1909.0,frame_1127.jpeg
1.6461502256884444e+18,-45.0,7443.0,-2120.0,frame_1128.jpeg
1.6461502257325512e+18,-494.0,6590.0,-3245.0,frame_1129.jpeg
1.6461501748774464e+18,-3850.0,4146.0,5716.0,frame_113.jpeg
1.646150225786732e+18,-430.0,6511.0,-1754.0,frame_1130.jpeg
1.6461502258367073e+18,-569.0,7497.0,-2563.0,frame_1131.jpeg
1.6461502258899653e+18,-827.0,8451.0,-1249.0,frame_1132.jpeg
1.6461502259392348e+18,-1090.0,8821.0,-2197.0,frame_1133.jpeg
1.6461502259640663e+18,-1457.0,8427.0,-2438.0,frame_1134.jpeg
1.6461502260833823e+18,-1456.0,8494.0,-2390.0,frame_1135.jpeg
1.6461502260908846e+18,-1410.0,8758.0,-2383.0,frame_1136.jpeg
1.6461502261382595e+18,-1427.0,8041.0,-2909.0,frame_1137.jpeg
1.6461502261921062e+18,-1757.0,7886.0,-2167.0,frame_1138.jpeg
1.6461502262414697e+18,-1936.0,7563.0,-1806.0,frame_1139.jpeg
1.64615017492706e+18,-3825.0,4161.0,5789.0,frame_114.jpeg
1.646150226287755e+18,-1879.0,8054.0,-1739.0,frame_1140.jpeg
1.6461502263427776e+18,-2055.0,8107.0,-2272.0,frame_1141.jpeg
1.6461502263996516e+18,-2091.0,8444.0,-2207.0,frame_1142.jpeg
1.6461502264438154e+18,-2130.0,8380.0,-2336.0,frame_1143.jpeg
1.646150226472409e+18,-2120.0,8340.0,-2368.0,frame_1144.jpeg
1.6461502265625126e+18,-2117.0,8290.0,-2410.0,frame_1145.jpeg
1.6461502265932099e+18,-2263.0,7924.0,-2533.0,frame_1146.jpeg
1.6461502266130499e+18,-2362.0,7943.0,-2572.0,frame_1147.jpeg
1.6461502267129329e+18,-2388.0,7960.0,-2588.0,frame_1148.jpeg
1.646150226745215e+18,-2416.0,7996.0,-2642.0,frame_1149.jpeg
1.6461501749775485e+18,-3793.0,4101.0,5754.0,frame_115.jpeg
1.646150226789325e+18,-2440.0,7651.0,-2550.0,frame_1150.jpeg
1.6461502268422907e+18,-2324.0,7896.0,-2072.0,frame_1151.jpeg
1.6461502268886157e+18,-2511.0,7596.0,-2141.0,frame_1152.jpeg
1.6461502269408346e+18,-2252.0,7947.0,-2144.0,frame_1153.jpeg
1.6461502269854428e+18,-2219.0,7454.0,-2263.0,frame_1154.jpeg
1.6461502270423286e+18,-2608.0,7578.0,-2505.0,frame_1155.jpeg
1.6461502270905024e+18,-2386.0,8121.0,-2319.0,frame_1156.jpeg
1.6461502271447142e+18,-2139.0,7875.0,-2198.0,frame_1157.jpeg
1.6461502271890355e+18,-2112.0,7732.0,-2480.0,frame_1158.jpeg
1.6461502272410058e+18,-2347.0,7955.0,-2357.0,frame_1159.jpeg
1.6461501750271624e+18,-3845.0,4077.0,5726.0,frame_116.jpeg
1.6461502272866284e+18,-2300.0,7415.0,-2019.0,frame_1160.jpeg
1.6461502273438118e+18,-2134.0,8029.0,-1934.0,frame_1161.jpeg
1.646150227386726e+18,-2224.0,7694.0,-2071.0,frame_1162.jpeg
1.6461502274409341e+18,-2328.0,7725.0,-1913.0,frame_1163.jpeg
1.6461502274916065e+18,-2270.0,7742.0,-2200.0,frame_1164.jpeg
1.6461502275444188e+18,-2250.0,7751.0,-1963.0,frame_1165.jpeg
