timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6461448959637292e+18,-4745.0,3853.0,5252.0,frame_100.jpeg
1.6461453915804728e+18,-2598.0,687.0,6953.0,frame_10000.jpeg
1.6461453916299443e+18,-2477.0,-451.0,7943.0,frame_10001.jpeg
1.646145391682054e+18,-2552.0,-331.0,7853.0,frame_10002.jpeg
1.6461453917341985e+18,-2516.0,792.0,6969.0,frame_10003.jpeg
1.646145391782259e+18,-3613.0,1588.0,7055.0,frame_10004.jpeg
1.6461453918351068e+18,-3769.0,610.0,7664.0,frame_10005.jpeg
1.6461453918799457e+18,-3112.0,792.0,6630.0,frame_10006.jpeg
1.646145391931036e+18,-2742.0,-784.0,8072.0,frame_10007.jpeg
1.6461453919810637e+18,-2565.0,-6.0,7569.0,frame_10008.jpeg
1.6461453920307843e+18,-2702.0,700.0,6945.0,frame_10009.jpeg
1.64614539208118e+18,-3351.0,241.0,6908.0,frame_10010.jpeg
1.646145392134081e+18,-3915.0,77.0,8248.0,frame_10011.jpeg
1.6461453921808584e+18,-3501.0,-877.0,8487.0,frame_10012.jpeg
1.64614539223451e+18,-3521.0,170.0,7553.0,frame_10013.jpeg
1.6461453922810941e+18,-3070.0,1547.0,7181.0,frame_10014.jpeg
1.6461453923292826e+18,-2598.0,506.0,6574.0,frame_10015.jpeg
1.646145392381509e+18,-1498.0,-1297.0,7556.0,frame_10016.jpeg
1.6461453924350003e+18,-2514.0,-132.0,6772.0,frame_10017.jpeg
1.6461453924783767e+18,-1903.0,285.0,6217.0,frame_10018.jpeg
1.6461453925350013e+18,-3511.0,-357.0,7890.0,frame_10019.jpeg
1.64614539258221e+18,-3524.0,-962.0,8269.0,frame_10020.jpeg
1.646145392635594e+18,-3896.0,-298.0,9094.0,frame_10021.jpeg
1.6461453926789425e+18,-3791.0,-2410.0,7863.0,frame_10022.jpeg
1.6461453927342932e+18,-2587.0,1017.0,7022.0,frame_10023.jpeg
1.6461453927822556e+18,-1123.0,-1448.0,6051.0,frame_10024.jpeg
1.6461453928358938e+18,-2208.0,-83.0,7457.0,frame_10025.jpeg
1.6461453928779543e+18,-1928.0,-1804.0,6283.0,frame_10026.jpeg
1.6461453929302623e+18,-3457.0,960.0,7300.0,frame_10027.jpeg
1.6461453929812518e+18,-3729.0,-1143.0,9030.0,frame_10028.jpeg
1.6461453930347348e+18,-4173.0,-1140.0,8508.0,frame_10029.jpeg
1.6461453930808632e+18,-3408.0,-2833.0,6763.0,frame_10030.jpeg
1.6461453931327895e+18,-2324.0,-1329.0,6184.0,frame_10031.jpeg
1.6461453931799002e+18,-1091.0,-1660.0,6348.0,frame_10032.jpeg
1.6461453932296947e+18,-2185.0,-1677.0,6627.0,frame_10033.jpeg
1.646145393287604e+18,-3735.0,-255.0,8110.0,frame_10034.jpeg
1.646145393331347e+18,-3583.0,-281.0,8511.0,frame_10035.jpeg
1.6461453933829527e+18,-3327.0,-1459.0,7010.0,frame_10036.jpeg
1.646145393437138e+18,-3056.0,-1352.0,7220.0,frame_10037.jpeg
1.6461453934883313e+18,-2812.0,-2106.0,7498.0,frame_10038.jpeg
1.6461453935350615e+18,-3179.0,609.0,7189.0,frame_10039.jpeg
1.6461449412166474e+18,-5408.0,2575.0,5338.0,frame_1004.jpeg
1.6461453935884224e+18,-3196.0,-273.0,8049.0,frame_10040.jpeg
1.6461453936351132e+18,-3387.0,-1554.0,7602.0,frame_10041.jpeg
1.646145393686773e+18,-3044.0,-367.0,7111.0,frame_10042.jpeg
1.6461453937350858e+18,-1674.0,-2862.0,6012.0,frame_10043.jpeg
1.646145393786852e+18,-2622.0,-498.0,7601.0,frame_10044.jpeg
1.6461453938320627e+18,-2238.0,-904.0,7102.0,frame_10045.jpeg
1.6461453938856978e+18,-2357.0,-1096.0,6090.0,frame_10046.jpeg
1.6461453939362263e+18,-3377.0,-1395.0,8790.0,frame_10047.jpeg
1.6461453939871365e+18,-3254.0,-146.0,7159.0,frame_10048.jpeg
1.646145394031594e+18,-3826.0,-1246.0,7566.0,frame_10049.jpeg
1.6461449412670185e+18,-5223.0,3013.0,4970.0,frame_1005.jpeg
1.6461453940874473e+18,-4830.0,-798.0,8929.0,frame_10050.jpeg
1.646145394132051e+18,-4177.0,-623.0,7176.0,frame_10051.jpeg
1.6461453941868035e+18,-1281.0,-1927.0,4317.0,frame_10052.jpeg
1.6461453942329887e+18,-1881.0,-2200.0,8677.0,frame_10053.jpeg
1.6461453942866132e+18,-2326.0,-1716.0,6493.0,frame_10054.jpeg
1.6461453943343734e+18,-4081.0,-796.0,8148.0,frame_10055.jpeg
1.6461453943871235e+18,-3577.0,-794.0,7751.0,frame_10056.jpeg
1.6461453944335416e+18,-3690.0,727.0,6035.0,frame_10057.jpeg
1.6461453944851144e+18,-5021.0,957.0,6556.0,frame_10058.jpeg
1.6461453945348882e+18,-5220.0,681.0,6861.0,frame_10059.jpeg
1.646144941317376e+18,-5494.0,3409.0,4916.0,frame_1006.jpeg
1.6461453945922427e+18,-3875.0,-2571.0,5326.0,frame_10060.jpeg
1.6461453946332216e+18,-2496.0,-4427.0,7177.0,frame_10061.jpeg
1.6461453946837504e+18,-1485.0,-3165.0,7601.0,frame_10062.jpeg
1.6461453947327575e+18,-3745.0,-1672.0,6897.0,frame_10063.jpeg
1.6461453947835095e+18,-4646.0,-3637.0,6452.0,frame_10064.jpeg
1.6461453948324708e+18,-4329.0,-1315.0,6052.0,frame_10065.jpeg
1.6461453948835917e+18,-4375.0,-36.0,5298.0,frame_10066.jpeg
1.6461453949388303e+18,-5461.0,1720.0,6147.0,frame_10067.jpeg
1.6461453949859082e+18,-5640.0,737.0,7708.0,frame_10068.jpeg
1.646145395034701e+18,-4978.0,37.0,6674.0,frame_10069.jpeg
1.6461449413634414e+18,-5474.0,3343.0,4994.0,frame_1007.jpeg
1.646145395087552e+18,-4040.0,-2253.0,6333.0,frame_10070.jpeg
1.6461453951389184e+18,-2906.0,-3757.0,4991.0,frame_10071.jpeg
1.64614539518276e+18,-3219.0,-2623.0,7258.0,frame_10072.jpeg
1.64614539523915e+18,-3450.0,-1653.0,5805.0,frame_10073.jpeg
1.6461453952860227e+18,-4484.0,-2584.0,5841.0,frame_10074.jpeg
1.6461453953402414e+18,-5264.0,1213.0,6308.0,frame_10075.jpeg
1.6461453953836598e+18,-4052.0,-516.0,6228.0,frame_10076.jpeg
1.6461453954353303e+18,-4604.0,3374.0,5569.0,frame_10077.jpeg
1.6461453954836626e+18,-5120.0,1090.0,6691.0,frame_10078.jpeg
1.6461453955458212e+18,-5500.0,1441.0,6958.0,frame_10079.jpeg
1.646144941416506e+18,-5294.0,3759.0,4827.0,frame_1008.jpeg
1.646145395586977e+18,-5449.0,1604.0,6150.0,frame_10080.jpeg
1.6461453956378486e+18,-4135.0,75.0,6129.0,frame_10081.jpeg
1.6461453956828838e+18,-4142.0,-228.0,6656.0,frame_10082.jpeg
1.6461453957361513e+18,-3730.0,-358.0,6748.0,frame_10083.jpeg
1.646145395787434e+18,-3509.0,-1998.0,7092.0,frame_10084.jpeg
1.646145395833415e+18,-3906.0,-83.0,5694.0,frame_10085.jpeg
1.6461453958851023e+18,-4954.0,-2168.0,5826.0,frame_10086.jpeg
1.646145395933624e+18,-4297.0,3220.0,6417.0,frame_10087.jpeg
1.6461453959840863e+18,-5355.0,3572.0,5646.0,frame_10088.jpeg
1.6461453960364257e+18,-6171.0,48.0,7344.0,frame_10089.jpeg
1.646144941463196e+18,-5150.0,3673.0,4810.0,frame_1009.jpeg
1.6461453960833615e+18,-5900.0,1749.0,7373.0,frame_10090.jpeg
