timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6461470863552663e+18,-7271.0,2615.0,1370.0,frame_100.jpeg
1.646147086405236e+18,-7279.0,2645.0,1370.0,frame_101.jpeg
1.6461470864555436e+18,-7259.0,2646.0,1396.0,frame_102.jpeg
1.6461470865029274e+18,-7268.0,2612.0,1390.0,frame_103.jpeg
1.6461470865575493e+18,-7320.0,2633.0,1378.0,frame_104.jpeg
1.646147086603729e+18,-7295.0,2641.0,1406.0,frame_105.jpeg
1.6461470866559908e+18,-7278.0,2611.0,1379.0,frame_106.jpeg
1.6461470867067005e+18,-7270.0,2614.0,1362.0,frame_107.jpeg
1.6461470867549325e+18,-7255.0,2625.0,1400.0,frame_108.jpeg
1.6461470868015498e+18,-7267.0,2679.0,1390.0,frame_109.jpeg
1.646147086858432e+18,-7258.0,2660.0,1419.0,frame_110.jpeg
1.646147635443653e+18,-5895.0,2061.0,5651.0,frame_11068.jpeg
1.6461476354902797e+18,-5327.0,2162.0,5241.0,frame_11069.jpeg
1.6461476355421015e+18,-5118.0,1634.0,5366.0,frame_11070.jpeg
1.6461476355860357e+18,-5076.0,2052.0,5291.0,frame_11071.jpeg
1.6461476356440366e+18,-5361.0,2103.0,5199.0,frame_11072.jpeg
1.6461476356906865e+18,-5661.0,2291.0,5484.0,frame_11073.jpeg
1.6461476357409492e+18,-5337.0,1675.0,5275.0,frame_11074.jpeg
1.6461476357872212e+18,-5205.0,1790.0,5218.0,frame_11075.jpeg
1.646147635841672e+18,-5573.0,2120.0,5479.0,frame_11076.jpeg
1.6461476358955843e+18,-5605.0,1936.0,5515.0,frame_11077.jpeg
1.6461476359382093e+18,-5460.0,1877.0,5588.0,frame_11078.jpeg
1.6461476359915978e+18,-5410.0,1844.0,5472.0,frame_11079.jpeg
1.6461476360427986e+18,-5406.0,1852.0,5518.0,frame_11080.jpeg
1.646147636091805e+18,-5434.0,1632.0,5557.0,frame_11081.jpeg
1.6461476361418284e+18,-5427.0,1720.0,5544.0,frame_11082.jpeg
1.6461476361905574e+18,-5312.0,1595.0,5438.0,frame_11083.jpeg
1.6461476362414807e+18,-5541.0,1759.0,5610.0,frame_11084.jpeg
1.6461476362938324e+18,-5593.0,1778.0,5533.0,frame_11085.jpeg
1.6461476363422106e+18,-5339.0,1746.0,5316.0,frame_11086.jpeg
1.6461476363932134e+18,-5011.0,1654.0,5146.0,frame_11087.jpeg
1.646147636442304e+18,-5485.0,1804.0,5615.0,frame_11088.jpeg
1.6461476364930785e+18,-5829.0,1496.0,6366.0,frame_11089.jpeg
1.6461476365428173e+18,-5306.0,1641.0,5735.0,frame_11090.jpeg
1.646147636594052e+18,-5081.0,1669.0,5669.0,frame_11091.jpeg
1.6461476366387889e+18,-4995.0,1639.0,5562.0,frame_11092.jpeg
1.6461476366924787e+18,-4934.0,1201.0,5372.0,frame_11093.jpeg
1.6461476367403154e+18,-5482.0,1160.0,4962.0,frame_11094.jpeg
1.6461476367924713e+18,-6833.0,534.0,6227.0,frame_11095.jpeg
1.6461476368412398e+18,-6363.0,-305.0,5484.0,frame_11096.jpeg
1.6461476368936407e+18,-5893.0,1682.0,5674.0,frame_11097.jpeg
1.646147636940261e+18,-4604.0,1615.0,4633.0,frame_11098.jpeg
1.646147636993537e+18,-5053.0,1963.0,6074.0,frame_11099.jpeg
1.6461470869041244e+18,-7265.0,2685.0,1411.0,frame_111.jpeg
1.646147637040987e+18,-4226.0,2267.0,5625.0,frame_11100.jpeg
1.6461476370950354e+18,-4436.0,2118.0,5960.0,frame_11101.jpeg
1.646147637141008e+18,-4316.0,-792.0,5581.0,frame_11102.jpeg
1.6461476371938885e+18,-6020.0,-81.0,6138.0,frame_11103.jpeg
1.646147637241836e+18,-6946.0,-879.0,6815.0,frame_11104.jpeg
1.6461476372963415e+18,-5757.0,1887.0,5604.0,frame_11105.jpeg
1.646147637342296e+18,-4307.0,2014.0,4351.0,frame_11106.jpeg
1.6461476373924257e+18,-4748.0,1204.0,5878.0,frame_11107.jpeg
1.646147637441284e+18,-4621.0,1655.0,6171.0,frame_11108.jpeg
1.6461476374931581e+18,-4585.0,1502.0,6494.0,frame_11109.jpeg
1.646147637544931e+18,-4711.0,1174.0,5021.0,frame_11110.jpeg
1.6461476375915894e+18,-5993.0,486.0,6468.0,frame_11111.jpeg
1.646147637644123e+18,-6762.0,366.0,6965.0,frame_11112.jpeg
1.6461476376970104e+18,-5583.0,1211.0,5235.0,frame_11113.jpeg
1.6461476377465231e+18,-4491.0,3368.0,4693.0,frame_11114.jpeg
1.6461476377908828e+18,-4862.0,2445.0,5376.0,frame_11115.jpeg
1.646147637844627e+18,-4341.0,1643.0,5758.0,frame_11116.jpeg
1.646147637891578e+18,-4248.0,1355.0,6499.0,frame_11117.jpeg
1.6461476379467958e+18,-4345.0,1616.0,6119.0,frame_11118.jpeg
1.6461476379902052e+18,-4232.0,509.0,5404.0,frame_11119.jpeg
1.6461476380459835e+18,-6699.0,851.0,6756.0,frame_11120.jpeg
1.6461476380915817e+18,-5657.0,-1150.0,5896.0,frame_11121.jpeg
1.6461476381462764e+18,-6044.0,-325.0,6288.0,frame_11122.jpeg
1.6461476381930424e+18,-4919.0,1278.0,5689.0,frame_11123.jpeg
1.6461476382480916e+18,-4822.0,1692.0,5184.0,frame_11124.jpeg
1.6461476382915336e+18,-4348.0,1088.0,6245.0,frame_11125.jpeg
1.6461476383472543e+18,-4024.0,1361.0,6435.0,frame_11126.jpeg
1.6461476383920177e+18,-4152.0,2068.0,6221.0,frame_11127.jpeg
1.6461476384465308e+18,-4194.0,699.0,5347.0,frame_11128.jpeg
1.6461476384927834e+18,-5236.0,-354.0,5945.0,frame_11129.jpeg
