timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6461501742237816e+18,-1830.0,6392.0,-4769.0,frame_100.jpeg
1.6461501742802632e+18,-1868.0,6398.0,-4848.0,frame_101.jpeg
1.6461501743254597e+18,-1854.0,6386.0,-4841.0,frame_102.jpeg
1.6461501743758088e+18,-1873.0,6369.0,-4837.0,frame_103.jpeg
1.646150174425658e+18,-1857.0,6365.0,-4887.0,frame_104.jpeg
1.6461501744723057e+18,-1866.0,6319.0,-4878.0,frame_105.jpeg
1.6461501745290568e+18,-1901.0,6275.0,-4974.0,frame_106.jpeg
1.6461501745770243e+18,-1936.0,6233.0,-5021.0,frame_107.jpeg
1.6461501746259052e+18,-1902.0,6242.0,-5003.0,frame_108.jpeg
1.646150174671617e+18,-1908.0,6232.0,-5047.0,frame_109.jpeg
1.646150174729083e+18,-1887.0,6242.0,-4994.0,frame_110.jpeg
1.6461502245884608e+18,-6099.0,5149.0,1879.0,frame_1106.jpeg
1.6461502246389683e+18,-6035.0,5010.0,2007.0,frame_1107.jpeg
1.646150224689283e+18,-6269.0,5277.0,2223.0,frame_1108.jpeg
1.6461502247397007e+18,-6347.0,5423.0,2255.0,frame_1109.jpeg
1.6461501747810066e+18,-1890.0,6240.0,-5011.0,frame_111.jpeg
1.6461502247903373e+18,-6312.0,5219.0,1949.0,frame_1110.jpeg
1.646150224838767e+18,-6407.0,5140.0,1830.0,frame_1111.jpeg
1.6461502248909102e+18,-6200.0,5058.0,1686.0,frame_1112.jpeg
1.6461502249391956e+18,-6433.0,5021.0,1869.0,frame_1113.jpeg
1.6461502249893391e+18,-6563.0,5173.0,1261.0,frame_1114.jpeg
1.6461502250377275e+18,-6244.0,4896.0,1234.0,frame_1115.jpeg
1.6461502250944786e+18,-6627.0,4954.0,1511.0,frame_1116.jpeg
1.6461502251391555e+18,-6494.0,4886.0,1633.0,frame_1117.jpeg
1.6461502251906586e+18,-6389.0,4810.0,1601.0,frame_1118.jpeg
1.6461502252384297e+18,-6342.0,5140.0,1567.0,frame_1119.jpeg
1.646150174825598e+18,-1905.0,6200.0,-5038.0,frame_112.jpeg
1.6461502252872046e+18,-6437.0,5069.0,1622.0,frame_1120.jpeg
1.6461502253393464e+18,-6388.0,4599.0,1739.0,frame_1121.jpeg
1.6461502253897638e+18,-6425.0,4912.0,2404.0,frame_1122.jpeg
1.646150225438058e+18,-6617.0,5114.0,2095.0,frame_1123.jpeg
1.646150225489657e+18,-6594.0,4730.0,1876.0,frame_1124.jpeg
1.646150225539785e+18,-6453.0,4740.0,1861.0,frame_1125.jpeg
1.6461502255885102e+18,-6577.0,4814.0,1839.0,frame_1126.jpeg
1.6461502256406072e+18,-6221.0,4614.0,1951.0,frame_1127.jpeg
1.6461502256880056e+18,-5457.0,4250.0,2327.0,frame_1128.jpeg
1.6461502257323151e+18,-4369.0,5115.0,3100.0,frame_1129.jpeg
1.646150174877174e+18,-1899.0,6225.0,-5044.0,frame_113.jpeg
1.6461502257914524e+18,-4701.0,4155.0,1700.0,frame_1130.jpeg
1.6461502258414267e+18,-5269.0,5043.0,1909.0,frame_1131.jpeg
1.6461502258894605e+18,-6558.0,5473.0,981.0,frame_1132.jpeg
1.6461502259389345e+18,-6456.0,5934.0,1825.0,frame_1133.jpeg
1.6461502259638956e+18,-6439.0,6120.0,1984.0,frame_1134.jpeg
1.6461502260831188e+18,-6513.0,6095.0,1910.0,frame_1135.jpeg
1.6461502260906033e+18,-6669.0,6201.0,1790.0,frame_1136.jpeg
1.6461502261380063e+18,-5773.0,5878.0,1760.0,frame_1137.jpeg
1.6461502261914163e+18,-5723.0,5818.0,1085.0,frame_1138.jpeg
1.6461502262410918e+18,-5329.0,5783.0,372.0,frame_1139.jpeg
1.6461501749266747e+18,-1928.0,6188.0,-5090.0,frame_114.jpeg
1.6461502262872712e+18,-6015.0,5620.0,764.0,frame_1140.jpeg
1.6461502263423808e+18,-6108.0,6213.0,916.0,frame_1141.jpeg
1.6461502263994844e+18,-6287.0,6073.0,1158.0,frame_1142.jpeg
1.6461502264433352e+18,-6167.0,6131.0,1372.0,frame_1143.jpeg
1.6461502265315067e+18,-6056.0,6132.0,1385.0,frame_1144.jpeg
1.6461502265315067e+18,-6056.0,6132.0,1385.0,frame_1145.jpeg
1.646150226592723e+18,-5834.0,6261.0,1489.0,frame_1146.jpeg
1.6461502266660017e+18,-5705.0,6334.0,1442.0,frame_1147.jpeg
1.646150226712722e+18,-5692.0,6354.0,1446.0,frame_1148.jpeg
1.6461502267387282e+18,-5752.0,6356.0,1492.0,frame_1149.jpeg
1.6461501749772954e+18,-1921.0,6134.0,-5073.0,frame_115.jpeg
1.6461502267888015e+18,-5441.0,6182.0,1525.0,frame_1150.jpeg
1.6461502268417664e+18,-5845.0,5849.0,1262.0,frame_1151.jpeg
1.6461502268882816e+18,-5719.0,5902.0,1156.0,frame_1152.jpeg
1.6461502269407596e+18,-6027.0,5796.0,1275.0,frame_1153.jpeg
1.6461502269885302e+18,-5584.0,5691.0,1425.0,frame_1154.jpeg
1.646150227042041e+18,-5531.0,6188.0,1287.0,frame_1155.jpeg
1.6461502270911002e+18,-6001.0,6004.0,1420.0,frame_1156.jpeg
1.6461502271444198e+18,-5976.0,5702.0,1318.0,frame_1157.jpeg
1.646150227190306e+18,-5721.0,5798.0,1697.0,frame_1158.jpeg
1.646150227240543e+18,-5811.0,6041.0,1366.0,frame_1159.jpeg
1.646150175026611e+18,-1881.0,6170.0,-5063.0,frame_116.jpeg
1.6461502272895631e+18,-5448.0,5655.0,1242.0,frame_1160.jpeg
1.6461502273435023e+18,-6178.0,5742.0,1149.0,frame_1161.jpeg
1.6461502273910467e+18,-5689.0,5696.0,1381.0,frame_1162.jpeg
1.6461502274406397e+18,-5843.0,5786.0,1083.0,frame_1163.jpeg
1.6461502274913275e+18,-5791.0,5890.0,1434.0,frame_1164.jpeg
1.6461502275440586e+18,-5772.0,5750.0,1229.0,frame_1165.jpeg
1.6461502275925796e+18,-5583.0,5783.0,1319.0,frame_1166.jpeg
1.6461502276446474e+18,-5739.0,5594.0,1069.0,frame_1167.jpeg
1.6461502276963884e+18,-5998.0,5834.0,1503.0,frame_1168.jpeg
1.6461502277382024e+18,-5797.0,5600.0,1416.0,frame_1169.jpeg
1.6461501750797202e+18,-1950.0,6093.0,-5156.0,frame_117.jpeg
1.6461502277916598e+18,-6295.0,6026.0,1307.0,frame_1170.jpeg
1.6461502278388772e+18,-5128.0,5680.0,1180.0,frame_1171.jpeg
1.6461502278918566e+18,-3478.0,5306.0,873.0,frame_1172.jpeg
1.6461502279418204e+18,-4370.0,5441.0,1212.0,frame_1173.jpeg
1.6461502279963597e+18,-6008.0,6692.0,1975.0,frame_1174.jpeg
1.6461502280432842e+18,-5713.0,6860.0,1676.0,frame_1175.jpeg
1.6461502280965975e+18,-5713.0,7266.0,1207.0,frame_1176.jpeg
1.6461502281427942e+18,-4484.0,6678.0,1033.0,frame_1177.jpeg
1.6461502281961262e+18,-3686.0,7223.0,807.0,frame_1178.jpeg
1.6461502282423913e+18,-4620.0,7693.0,-215.0,frame_1179.jpeg
1.6461501751254305e+18,-1928.0,6133.0,-5102.0,frame_118.jpeg
1.646150228297444e+18,-3985.0,6377.0,-582.0,frame_1180.jpeg
1.6461502283405076e+18,-5569.0,6799.0,-1073.0,frame_1181.jpeg
1.646150228395993e+18,-6428.0,5086.0,-3602.0,frame_1182.jpeg
1.646150228443581e+18,-5731.0,3572.0,-4618.0,frame_1183.jpeg
1.6461502284954708e+18,-6151.0,3030.0,-6786.0,frame_1184.jpeg
1.646150228542113e+18,-4230.0,2407.0,-7255.0,frame_1185.jpeg
1.6461502285963382e+18,-2433.0,1477.0,-6844.0,frame_1186.jpeg
1.6461502286469194e+18,-1275.0,1580.0,-7231.0,frame_1187.jpeg
1.6461502286973962e+18,-2102.0,2357.0,-8695.0,frame_1188.jpeg
1.6461502287459528e+18,-1868.0,2544.0,-7857.0,frame_1189.jpeg
1.6461501751764114e+18,-1857.0,6186.0,-5092.0,frame_119.jpeg
1.6461502287961452e+18,-2058.0,2924.0,-7470.0,frame_1190.jpeg
1.646150228846779e+18,-1841.0,2761.0,-7479.0,frame_1191.jpeg
1.6461502288922918e+18,-1908.0,2622.0,-7649.0,frame_1192.jpeg
1.646150228947163e+18,-1933.0,2652.0,-7554.0,frame_1193.jpeg
1.6461502289930906e+18,-2020.0,2518.0,-7692.0,frame_1194.jpeg
1.646150229044575e+18,-2003.0,2519.0,-7649.0,frame_1195.jpeg
1.6461502290961254e+18,-2058.0,2482.0,-7622.0,frame_1196.jpeg
1.6461502291473708e+18,-2016.0,2374.0,-7640.0,frame_1197.jpeg
1.6461502291930637e+18,-1936.0,2347.0,-7753.0,frame_1198.jpeg
1.6461502292495619e+18,-2077.0,2307.0,-7719.0,frame_1199.jpeg
1.6461501752259e+18,-1934.0,6122.0,-5130.0,frame_120.jpeg
1.6461502292925443e+18,-1913.0,2305.0,-7712.0,frame_1200.jpeg
1.6461502293463665e+18,-1981.0,2362.0,-7613.0,frame_1201.jpeg
1.646150229396174e+18,-2069.0,2385.0,-7672.0,frame_1202.jpeg
1.646150229441345e+18,-1994.0,2276.0,-7655.0,frame_1203.jpeg
1.6461502294932324e+18,-2012.0,2298.0,-7697.0,frame_1204.jpeg
1.6461502295472238e+18,-1984.0,2319.0,-7661.0,frame_1205.jpeg
1.6461502295943447e+18,-1893.0,2275.0,-7707.0,frame_1206.jpeg
1.6461502296478047e+18,-2063.0,2341.0,-7669.0,frame_1207.jpeg
1.646150229695259e+18,-2057.0,2265.0,-7672.0,frame_1208.jpeg
1.6461502297470774e+18,-1931.0,2273.0,-7753.0,frame_1209.jpeg
1.6461501752761925e+18,-1931.0,6133.0,-5154.0,frame_121.jpeg
1.646150229794442e+18,-1976.0,2320.0,-7688.0,frame_1210.jpeg
1.6461507751781489e+18,-2872.0,-1251.0,-7764.0,frame_12104.jpeg
1.6461507752303442e+18,-2081.0,-1207.0,-8580.0,frame_12105.jpeg
1.6461507752803807e+18,-2037.0,16.0,-8779.0,frame_12106.jpeg
1.6461507753296873e+18,347.0,-245.0,-8428.0,frame_12107.jpeg
1.6461507753844403e+18,1425.0,-2401.0,-4922.0,frame_12108.jpeg
1.6461507754251594e+18,4285.0,-5202.0,-5474.0,frame_12109.jpeg
1.6461502298465326e+18,-2194.0,2400.0,-7577.0,frame_1211.jpeg
1.6461507754611538e+18,471.0,-4771.0,-5081.0,frame_12110.jpeg
1.6461507755305075e+18,642.0,-4666.0,-5226.0,frame_12111.jpeg
1.6461507755772488e+18,4019.0,-926.0,-7533.0,frame_12112.jpeg
1.6461507756273495e+18,3645.0,1752.0,-8075.0,frame_12113.jpeg
1.646150775680393e+18,2673.0,1370.0,-6674.0,frame_12114.jpeg
1.6461507757264558e+18,2777.0,645.0,-6097.0,frame_12115.jpeg
1.6461507757796833e+18,2351.0,240.0,-8457.0,frame_12116.jpeg
1.646150775821957e+18,-256.0,310.0,-7517.0,frame_12117.jpeg
1.646150775867925e+18,-2622.0,-1070.0,-8293.0,frame_12118.jpeg
1.6461507759265828e+18,-2556.0,-1841.0,-8463.0,frame_12119.jpeg
1.6461502298916324e+18,-2271.0,2402.0,-7608.0,frame_1212.jpeg
1.6461507759785252e+18,-2934.0,-4210.0,-8576.0,frame_12120.jpeg
1.6461507760283095e+18,-2773.0,-4354.0,-7865.0,frame_12121.jpeg
1.6461507760803318e+18,-355.0,-2870.0,-7588.0,frame_12122.jpeg
1.6461507761292175e+18,1469.0,-1435.0,-7708.0,frame_12123.jpeg
1.646150776179566e+18,2459.0,847.0,-8342.0,frame_12124.jpeg
1.646150776229585e+18,4307.0,3044.0,-7419.0,frame_12125.jpeg
1.6461507762797652e+18,-68.0,5686.0,-8881.0,frame_12126.jpeg
1.646150776329317e+18,-3667.0,3594.0,-8937.0,frame_12127.jpeg
1.6461507763812344e+18,-5255.0,-276.0,-8027.0,frame_12128.jpeg
1.6461507764254482e+18,-4562.0,-2842.0,-7820.0,frame_12129.jpeg
1.6461502299475075e+18,-2149.0,2331.0,-7717.0,frame_1213.jpeg
1.6461507764787338e+18,-412.0,-3772.0,-8650.0,frame_12130.jpeg
1.6461507765291843e+18,-429.0,-602.0,-9005.0,frame_12131.jpeg
1.6461507765788088e+18,1218.0,2500.0,-8693.0,frame_12132.jpeg
1.6461507766308588e+18,1307.0,4857.0,-8695.0,frame_12133.jpeg
1.6461507766804984e+18,-525.0,4711.0,-8478.0,frame_12134.jpeg
1.6461507767307282e+18,-5170.0,754.0,-7789.0,frame_12135.jpeg
1.6461507767815066e+18,-2701.0,-2726.0,-8678.0,frame_12136.jpeg
1.6461507768298537e+18,316.0,-3175.0,-9485.0,frame_12137.jpeg
1.6461507768803459e+18,1960.0,73.0,-8994.0,frame_12138.jpeg
1.6461507769317647e+18,1726.0,3740.0,-8334.0,frame_12139.jpeg
1.6461502299943022e+18,-2139.0,2432.0,-7612.0,frame_1214.jpeg
1.646150776979458e+18,-2202.0,5990.0,-7754.0,frame_12140.jpeg
1.6461507770322665e+18,-723.0,4448.0,-9265.0,frame_12141.jpeg
1.6461507770799905e+18,-2942.0,2712.0,-8539.0,frame_12142.jpeg
1.646150777131589e+18,1746.0,-2285.0,-9035.0,frame_12143.jpeg
1.646150777179527e+18,-1089.0,602.0,-9048.0,frame_12144.jpeg
1.6461507772318093e+18,2737.0,3303.0,-8139.0,frame_12145.jpeg
1.6461507772803282e+18,-65.0,5949.0,-8481.0,frame_12146.jpeg
1.6461507773350433e+18,-2747.0,5632.0,-8588.0,frame_12147.jpeg
1.646150777381679e+18,-5251.0,-9.0,-8306.0,frame_12148.jpeg
1.646150777428383e+18,3035.0,-1685.0,-9471.0,frame_12149.jpeg
1.6461502300478405e+18,-2167.0,2458.0,-7627.0,frame_1215.jpeg
1.646150777479762e+18,-3494.0,-1044.0,-7672.0,frame_12150.jpeg
1.6461507775329585e+18,21.0,750.0,-8777.0,frame_12151.jpeg
1.646150777577645e+18,3180.0,3607.0,-8543.0,frame_12152.jpeg
1.6461507776385692e+18,-606.0,6617.0,-8554.0,frame_12153.jpeg
1.6461507776796639e+18,-2267.0,4551.0,-8309.0,frame_12154.jpeg
1.6461507777310298e+18,-5378.0,133.0,-7548.0,frame_12155.jpeg
1.646150777780677e+18,-2133.0,-2130.0,-7789.0,frame_12156.jpeg
1.6461507778307023e+18,1316.0,-2110.0,-8052.0,frame_12157.jpeg
1.646150777880747e+18,-1861.0,2304.0,-10205.0,frame_12158.jpeg
1.6461507779317527e+18,113.0,3986.0,-7792.0,frame_12159.jpeg
1.6461502300966986e+18,-2157.0,2378.0,-7612.0,frame_1216.jpeg
1.6461507779822418e+18,2276.0,5631.0,-9254.0,frame_12160.jpeg
1.646150778031981e+18,-1455.0,6164.0,-8716.0,frame_12161.jpeg
1.6461507780787428e+18,-3780.0,2419.0,-7450.0,frame_12162.jpeg
1.646150778131548e+18,-5296.0,-655.0,-7245.0,frame_12163.jpeg
1.6461507781878927e+18,1375.0,-4065.0,-8222.0,frame_12164.jpeg
1.6461507782300933e+18,2856.0,439.0,-9691.0,frame_12165.jpeg
1.646150778277439e+18,1502.0,3970.0,-10004.0,frame_12166.jpeg
1.6461507783301028e+18,1174.0,5815.0,-9408.0,frame_12167.jpeg
1.6461507783855324e+18,-2332.0,6376.0,-8023.0,frame_12168.jpeg
1.646150778433181e+18,-3446.0,3477.0,-7313.0,frame_12169.jpeg
1.6461502301460204e+18,-2020.0,2342.0,-7633.0,frame_1217.jpeg
1.646150778482367e+18,-5452.0,-2054.0,-8220.0,frame_12170.jpeg
1.6461507785327503e+18,-986.0,-4664.0,-8439.0,frame_12171.jpeg
1.6461507785850066e+18,2972.0,-590.0,-8000.0,frame_12172.jpeg
1.646150778632558e+18,2319.0,3283.0,-10882.0,frame_12173.jpeg
1.6461507786833298e+18,-221.0,4725.0,-9413.0,frame_12174.jpeg
1.646150778730306e+18,2477.0,6000.0,-8583.0,frame_12175.jpeg
1.6461507787842808e+18,-2208.0,6265.0,-8133.0,frame_12176.jpeg
1.6461507788321398e+18,-3670.0,3486.0,-7377.0,frame_12177.jpeg
1.6461507788847145e+18,-3720.0,-3221.0,-8431.0,frame_12178.jpeg
1.646150778931291e+18,-2939.0,-5269.0,-9287.0,frame_12179.jpeg
