timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.646144895963566e+18,-2116.0,-663.0,-7976.0,frame_100.jpeg
1.6461453915800246e+18,4034.0,5567.0,-4402.0,frame_10000.jpeg
1.6461453916295204e+18,3364.0,5655.0,-4596.0,frame_10001.jpeg
1.646145391681641e+18,4177.0,6082.0,-5044.0,frame_10002.jpeg
1.6461453917338353e+18,2312.0,5836.0,-4239.0,frame_10003.jpeg
1.6461453917811525e+18,1748.0,7315.0,-4198.0,frame_10004.jpeg
1.6461453918347994e+18,2700.0,7152.0,-4143.0,frame_10005.jpeg
1.646145391879516e+18,3154.0,6084.0,-4062.0,frame_10006.jpeg
1.6461453919355948e+18,4407.0,5407.0,-4743.0,frame_10007.jpeg
1.646145391980596e+18,3370.0,5303.0,-4909.0,frame_10008.jpeg
1.6461453920303716e+18,3277.0,5856.0,-4468.0,frame_10009.jpeg
1.6461453920807255e+18,3783.0,5864.0,-5064.0,frame_10010.jpeg
1.6461453921336778e+18,2758.0,5863.0,-4747.0,frame_10011.jpeg
1.6461453921805432e+18,4696.0,5134.0,-4589.0,frame_10012.jpeg
1.6461453922341537e+18,2622.0,5898.0,-4563.0,frame_10013.jpeg
1.6461453922806848e+18,2054.0,6371.0,-4563.0,frame_10014.jpeg
1.646145392328998e+18,3772.0,5667.0,-4958.0,frame_10015.jpeg
1.6461453923811648e+18,4283.0,3802.0,-4027.0,frame_10016.jpeg
1.6461453924347177e+18,3740.0,5442.0,-5605.0,frame_10017.jpeg
1.646145392482769e+18,2309.0,4537.0,-3494.0,frame_10018.jpeg
1.646145392534642e+18,3205.0,5954.0,-5869.0,frame_10019.jpeg
1.646145392581901e+18,3757.0,5685.0,-5860.0,frame_10020.jpeg
1.6461453926353444e+18,3997.0,5762.0,-5247.0,frame_10021.jpeg
1.6461453926785126e+18,3264.0,6638.0,-5349.0,frame_10022.jpeg
1.6461453927341266e+18,2164.0,5581.0,-4722.0,frame_10023.jpeg
1.6461453927818035e+18,3312.0,3869.0,-2958.0,frame_10024.jpeg
1.6461453928356457e+18,4671.0,6026.0,-5385.0,frame_10025.jpeg
1.6461453928776223e+18,3412.0,4839.0,-4401.0,frame_10026.jpeg
1.6461453929298752e+18,398.0,7033.0,-4974.0,frame_10027.jpeg
1.6461453929807752e+18,3976.0,5752.0,-5278.0,frame_10028.jpeg
1.6461453930344502e+18,2947.0,6535.0,-4769.0,frame_10029.jpeg
1.6461453930760008e+18,4608.0,5492.0,-4083.0,frame_10030.jpeg
1.6461453931324787e+18,3449.0,5043.0,-4196.0,frame_10031.jpeg
1.6461453931796093e+18,5262.0,3483.0,-3514.0,frame_10032.jpeg
1.6461453932372818e+18,3181.0,4884.0,-4751.0,frame_10033.jpeg
1.6461453932871352e+18,1727.0,6694.0,-5500.0,frame_10034.jpeg
1.6461453933310057e+18,2994.0,5799.0,-5325.0,frame_10035.jpeg
1.646145393382525e+18,3602.0,5598.0,-4920.0,frame_10036.jpeg
1.6461453934366753e+18,4133.0,5087.0,-4953.0,frame_10037.jpeg
1.646145393487861e+18,4754.0,4772.0,-5214.0,frame_10038.jpeg
1.6461453935347725e+18,2685.0,5703.0,-5074.0,frame_10039.jpeg
1.6461449412161654e+18,-732.0,87.0,-8445.0,frame_1004.jpeg
1.6461453935880028e+18,3310.0,5785.0,-4895.0,frame_10040.jpeg
1.6461453936347988e+18,3431.0,6121.0,-4868.0,frame_10041.jpeg
1.646145393686383e+18,4317.0,5176.0,-4533.0,frame_10042.jpeg
1.6461453937348641e+18,5057.0,3380.0,-3384.0,frame_10043.jpeg
1.6461453937866058e+18,4114.0,5434.0,-5323.0,frame_10044.jpeg
1.646145393831678e+18,3225.0,4973.0,-4851.0,frame_10045.jpeg
1.6461453938854093e+18,2428.0,4567.0,-4289.0,frame_10046.jpeg
1.6461453939357676e+18,3600.0,5670.0,-6815.0,frame_10047.jpeg
1.6461453939866888e+18,3872.0,4950.0,-4756.0,frame_10048.jpeg
1.6461453940312594e+18,3401.0,5589.0,-5203.0,frame_10049.jpeg
1.6461449412666414e+18,-1359.0,-43.0,-8082.0,frame_1005.jpeg
1.6461453940866988e+18,2514.0,6799.0,-6266.0,frame_10050.jpeg
1.6461453941330348e+18,2927.0,6460.0,-3865.0,frame_10051.jpeg
1.6461453941866355e+18,5931.0,2763.0,-3594.0,frame_10052.jpeg
1.6461453942322726e+18,4382.0,4051.0,-5889.0,frame_10053.jpeg
1.6461453942862723e+18,3848.0,4578.0,-4444.0,frame_10054.jpeg
1.6461453943340664e+18,3173.0,6495.0,-5325.0,frame_10055.jpeg
1.6461453943866737e+18,3680.0,5601.0,-5205.0,frame_10056.jpeg
