timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.644931923711035e+18,-3578.0,-5396.0,-6055.0,frame_1000.jpeg
1.644931923756725e+18,-3283.0,-5021.0,-5485.0,frame_1001.jpeg
1.6449319238002145e+18,-2948.0,-4141.0,-5348.0,frame_1002.jpeg
1.6449319238582154e+18,-3482.0,-4641.0,-5721.0,frame_1003.jpeg
1.64493192390646e+18,-3731.0,-4198.0,-6360.0,frame_1004.jpeg
1.644931923957143e+18,-3945.0,-3950.0,-6704.0,frame_1005.jpeg
1.644931924013022e+18,-4038.0,-2403.0,-6346.0,frame_1006.jpeg
1.644931924058121e+18,-4010.0,-511.0,-6351.0,frame_1007.jpeg
1.6449319241100628e+18,-3309.0,348.0,-6591.0,frame_1008.jpeg
1.6449319241526674e+18,-3246.0,379.0,-6065.0,frame_1009.jpeg
1.644931924212281e+18,-3622.0,42.0,-5700.0,frame_1010.jpeg
1.6449319242616253e+18,-4392.0,719.0,-5568.0,frame_1011.jpeg
1.6449319243115466e+18,-5299.0,1612.0,-6086.0,frame_1012.jpeg
1.6449319243621217e+18,-6030.0,2619.0,-6402.0,frame_1013.jpeg
1.6449319244104794e+18,-6306.0,2310.0,-6411.0,frame_1014.jpeg
1.644931924457363e+18,-6198.0,2239.0,-6185.0,frame_1015.jpeg
1.6449319245114796e+18,-6879.0,2487.0,-5784.0,frame_1016.jpeg
1.6449319245602893e+18,-6859.0,1896.0,-5460.0,frame_1017.jpeg
1.6449319246082673e+18,-5717.0,1565.0,-4909.0,frame_1018.jpeg
1.6449319246624704e+18,-5627.0,1598.0,-5373.0,frame_1019.jpeg
1.6449319247100902e+18,-4178.0,1335.0,-6294.0,frame_1020.jpeg
1.6449319247618524e+18,-4269.0,2540.0,-8091.0,frame_1021.jpeg
1.6449319248114022e+18,-4236.0,1551.0,-9868.0,frame_1022.jpeg
1.6449319248622157e+18,-3937.0,926.0,-8485.0,frame_1023.jpeg
1.6449319249096297e+18,-2482.0,-106.0,-8079.0,frame_1024.jpeg
1.6449319249608753e+18,-2902.0,-390.0,-8083.0,frame_1025.jpeg
1.6449319250068838e+18,-3214.0,-334.0,-7870.0,frame_1026.jpeg
1.6449319250582828e+18,-2400.0,-1459.0,-7638.0,frame_1027.jpeg
1.6449319251092572e+18,-2653.0,-1363.0,-7896.0,frame_1028.jpeg
1.644931925163267e+18,-2440.0,-1129.0,-7733.0,frame_1029.jpeg
1.6449319252082545e+18,-2576.0,-1034.0,-7920.0,frame_1030.jpeg
1.6449319252622792e+18,-3072.0,-1135.0,-8064.0,frame_1031.jpeg
1.644931925310911e+18,-3159.0,-1079.0,-7901.0,frame_1032.jpeg
1.6449319253625247e+18,-3729.0,-901.0,-7601.0,frame_1033.jpeg
1.6449319254062057e+18,-4162.0,-464.0,-7139.0,frame_1034.jpeg
1.6449319254611487e+18,-5066.0,-35.0,-6604.0,frame_1035.jpeg
1.6449319255067822e+18,-5611.0,342.0,-6648.0,frame_1036.jpeg
1.644931925561913e+18,-6387.0,400.0,-5734.0,frame_1037.jpeg
1.6449319255967037e+18,-6586.0,398.0,-5438.0,frame_1038.jpeg
1.6449319256380902e+18,-6748.0,481.0,-5233.0,frame_1039.jpeg
1.6449319257127127e+18,-6754.0,480.0,-5182.0,frame_1040.jpeg
1.6449319257494723e+18,-6762.0,464.0,-5107.0,frame_1041.jpeg
1.644932395224419e+18,-7308.0,-1421.0,-1732.0,frame_10419.jpeg
1.6449319258130895e+18,-7154.0,829.0,-3891.0,frame_1042.jpeg
1.6449323952975547e+18,-7331.0,-1516.0,-1706.0,frame_10420.jpeg
1.6449323953518523e+18,-7593.0,-1937.0,-1485.0,frame_10421.jpeg
1.6449323953518523e+18,-7593.0,-1937.0,-1485.0,frame_10422.jpeg
1.6449323954517752e+18,-7932.0,-1727.0,-1516.0,frame_10423.jpeg
1.644932395499883e+18,-6609.0,852.0,-3876.0,frame_10424.jpeg
1.6449323955470858e+18,-8410.0,-2574.0,-1100.0,frame_10425.jpeg
1.6449323956011433e+18,-9256.0,-3240.0,-81.0,frame_10426.jpeg
1.6449323956479997e+18,-8158.0,-3529.0,-1858.0,frame_10427.jpeg
1.6449323956987008e+18,-6589.0,-3873.0,-2464.0,frame_10428.jpeg
1.6449323957534382e+18,-7689.0,-3656.0,-2688.0,frame_10429.jpeg
1.6449319258635763e+18,-7612.0,567.0,-3687.0,frame_1043.jpeg
1.644932395797013e+18,-6785.0,-3698.0,-2730.0,frame_10430.jpeg
1.644932395853079e+18,-7122.0,-3537.0,-2533.0,frame_10431.jpeg
1.6449323958989453e+18,-6432.0,-3509.0,-2913.0,frame_10432.jpeg
1.6449323959522819e+18,-7410.0,-2873.0,-4207.0,frame_10433.jpeg
1.64493239600316e+18,-7676.0,-1664.0,-4432.0,frame_10434.jpeg
1.6449323960502088e+18,-6117.0,11.0,-4310.0,frame_10435.jpeg
1.644932396099629e+18,-6053.0,983.0,-4511.0,frame_10436.jpeg
1.6449323961537518e+18,-5828.0,1249.0,-5109.0,frame_10437.jpeg
1.6449323961986345e+18,-7143.0,-180.0,-2970.0,frame_10438.jpeg
1.6449323962535345e+18,-9384.0,-2139.0,-484.0,frame_10439.jpeg
1.6449319259163482e+18,-7764.0,585.0,-3717.0,frame_1044.jpeg
1.6449323962985818e+18,-7988.0,-3818.0,-748.0,frame_10440.jpeg
1.6449323963501268e+18,-8689.0,-3093.0,-1532.0,frame_10441.jpeg
1.644932396398462e+18,-6587.0,-2869.0,-3490.0,frame_10442.jpeg
1.6449323964518554e+18,-7374.0,-3779.0,-3671.0,frame_10443.jpeg
1.6449323965025065e+18,-6829.0,-3605.0,-2776.0,frame_10444.jpeg
1.6449323965501647e+18,-6661.0,-3801.0,-3069.0,frame_10445.jpeg
1.644932396591321e+18,-6188.0,-3981.0,-3074.0,frame_10446.jpeg
1.644932396638884e+18,-6122.0,-3956.0,-3974.0,frame_10447.jpeg
1.6449323967011415e+18,-5947.0,-3616.0,-4248.0,frame_10448.jpeg
1.644932396753994e+18,-7652.0,-3537.0,-3871.0,frame_10449.jpeg
1.6449319259639992e+18,-7829.0,400.0,-3404.0,frame_1045.jpeg
1.644932396806959e+18,-6566.0,-436.0,-4791.0,frame_10450.jpeg
1.6449323968353725e+18,-6788.0,879.0,-3294.0,frame_10451.jpeg
1.644932396899292e+18,-6690.0,1093.0,-3558.0,frame_10452.jpeg
1.6449323969480125e+18,-7399.0,-189.0,-2378.0,frame_10453.jpeg
1.644932396998438e+18,-10178.0,-2228.0,56.0,frame_10454.jpeg
1.6449323970540844e+18,-7431.0,-3256.0,-1439.0,frame_10455.jpeg
1.644932397097936e+18,-7669.0,-2889.0,-2523.0,frame_10456.jpeg
1.6449323971560074e+18,-5528.0,-3360.0,-4192.0,frame_10457.jpeg
1.644932397198147e+18,-7157.0,-3861.0,-4198.0,frame_10458.jpeg
1.6449323972553595e+18,-7039.0,-4119.0,-3651.0,frame_10459.jpeg
1.6449319260160015e+18,-7867.0,479.0,-3131.0,frame_1046.jpeg
1.6449323972967076e+18,-6142.0,-4076.0,-4013.0,frame_10460.jpeg
1.6449323973608566e+18,-6047.0,-4066.0,-3846.0,frame_10461.jpeg
1.6449323974029356e+18,-6451.0,-3675.0,-3565.0,frame_10462.jpeg
1.6449323974545413e+18,-5984.0,-3332.0,-3835.0,frame_10463.jpeg
1.6449323975031534e+18,-6269.0,-3105.0,-3501.0,frame_10464.jpeg
1.6449323975340352e+18,-6882.0,-2732.0,-3735.0,frame_10465.jpeg
1.6449323975864448e+18,-7069.0,-2852.0,-4071.0,frame_10466.jpeg
1.6449323976967593e+18,-7052.0,-2873.0,-4227.0,frame_10467.jpeg
1.644932397705193e+18,-7077.0,-2907.0,-4403.0,frame_10468.jpeg
1.6449323977513037e+18,-9648.0,-626.0,-1564.0,frame_10469.jpeg
1.6449319260631857e+18,-7784.0,500.0,-2728.0,frame_1047.jpeg
1.6449323978034422e+18,-8069.0,-2603.0,-2892.0,frame_10470.jpeg
1.6449323978507528e+18,-5364.0,-4506.0,-4524.0,frame_10471.jpeg
1.6449323979060692e+18,-3272.0,-4591.0,-5598.0,frame_10472.jpeg
1.6449323979535094e+18,-4321.0,-4841.0,-6307.0,frame_10473.jpeg
1.6449323980075735e+18,-4563.0,-5684.0,-5712.0,frame_10474.jpeg
1.644932398044393e+18,-4853.0,-5442.0,-5523.0,frame_10475.jpeg
1.6449323981003617e+18,-4584.0,-4262.0,-5084.0,frame_10476.jpeg
1.6449323981003617e+18,-4584.0,-4262.0,-5084.0,frame_10477.jpeg
1.6449323982480146e+18,-4809.0,-4064.0,-4989.0,frame_10478.jpeg
1.6449323982480146e+18,-4809.0,-4064.0,-4989.0,frame_10479.jpeg
1.6449319261164861e+18,-7826.0,655.0,-2361.0,frame_1048.jpeg
1.6449323983055672e+18,-5092.0,-3746.0,-5414.0,frame_10480.jpeg
1.6449323983529457e+18,-5545.0,-4932.0,-5574.0,frame_10481.jpeg
1.6449323984029146e+18,-5012.0,2989.0,-2228.0,frame_10482.jpeg
1.644932398451094e+18,-5847.0,4072.0,-1345.0,frame_10483.jpeg
1.6449323985023363e+18,-8626.0,5861.0,-326.0,frame_10484.jpeg
1.644932398551327e+18,-7871.0,3993.0,-887.0,frame_10485.jpeg
1.6449323986035707e+18,-8941.0,1147.0,-1410.0,frame_10486.jpeg
1.6449323986522227e+18,-10720.0,79.0,-110.0,frame_10487.jpeg
1.644932398706136e+18,-10290.0,-464.0,-134.0,frame_10488.jpeg
1.644932398754425e+18,-7387.0,-2259.0,-752.0,frame_10489.jpeg
1.6449319261654103e+18,-7562.0,623.0,-1886.0,frame_1049.jpeg
1.6449323988112952e+18,-6001.0,-1521.0,-2427.0,frame_10490.jpeg
1.6449323988521254e+18,-5972.0,-1500.0,-2855.0,frame_10491.jpeg
1.6449323989029732e+18,-6118.0,-2307.0,-4706.0,frame_10492.jpeg
1.644932398956685e+18,-6154.0,-2126.0,-4807.0,frame_10493.jpeg
1.6449323989989588e+18,-7366.0,-3225.0,-4405.0,frame_10494.jpeg
1.6449323990566426e+18,-5822.0,-1259.0,-4113.0,frame_10495.jpeg
1.6449323991048023e+18,-7743.0,669.0,-3343.0,frame_10496.jpeg
1.6449323991534825e+18,-10028.0,1728.0,-3040.0,frame_10497.jpeg
1.6449323992038543e+18,-7326.0,1033.0,-2998.0,frame_10498.jpeg
1.64493239925523e+18,-6926.0,2380.0,-2256.0,frame_10499.jpeg
1.6449319262115638e+18,-7462.0,715.0,-1533.0,frame_1050.jpeg
1.6449323993060493e+18,-6824.0,3876.0,-1854.0,frame_10500.jpeg
1.644932399356719e+18,-6401.0,5048.0,-2190.0,frame_10501.jpeg
1.6449323994039258e+18,-6066.0,5231.0,-1557.0,frame_10502.jpeg
1.6449323994643978e+18,-6115.0,5086.0,-587.0,frame_10503.jpeg
1.6449323995058926e+18,-6292.0,5375.0,108.0,frame_10504.jpeg
1.6449319262620326e+18,-7748.0,824.0,-1443.0,frame_1051.jpeg
1.6449319263138468e+18,-8504.0,1009.0,-1039.0,frame_1052.jpeg
1.644931926359139e+18,-8588.0,1065.0,-541.0,frame_1053.jpeg
1.6449319264142403e+18,-8582.0,1096.0,-23.0,frame_1054.jpeg
1.644931926461827e+18,-8810.0,1258.0,643.0,frame_1055.jpeg
1.644931926512232e+18,-8667.0,1241.0,997.0,frame_1056.jpeg
1.644931926562139e+18,-8775.0,1323.0,1221.0,frame_1057.jpeg
